Blade	Speed	Control	Stiffness 	Hardness 	Consistency 	Overall	Ratings	Price
TSP TS-45	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	45
TSP TS-7	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	58
TSP Versal	7.5	8.0	5.0	6.0	10.0	9.0	2	50
TSP Victas Koji Matsushita	6.5	9.1	3.6	3.9	10.0	9.2	9	75
TSP X Series Classic Allround	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	65
TSP X Series Defensive Combi	5.4	9.7	3.0	2.1	9.0	9.5	6	55
TSP X Series Offensive	7.9	9.3	5.0	3.7	5.0	9.1	1	65
TSP X Series Offensive Carbon	8.8	9.0	5.0	6.7	10.0	(not rated)	1	75
TSP Yanagi Alpha	5.6	10.0	7.0	5.2	10.0	9.2	1	60
TSP Yanagi Shot	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	80
TTMaster Evolutive Defense	6.0	8.8	5.0	5.2	10.0	10.0	2	0
TTPro Spinny ALL	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	65
TTPro Spinny Carbon	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	90
Tulpe 420	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	20
Tulpe 7007	7.9	9.0	6.0	5.2	8.3	8.1	5	20
Tulpe 701	8.0	8.3	7.0	7.2	5.0	8.0	3	20
Tulpe T-7010	9.0	9.0	10.0	2.2	10.0	9.4	1	68
Tulpe T-702	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	16
Tulpe T-704	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	24
Tulpe T7007	9.9	10.0	5.0	6.7	10.0	10.0	2	28
Tulpe T7008	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	38
Tuttle Psychic	9.0	8.8	5.0	5.2	(not rated)	9.0	1	0
Uniker KOOL Crystal Carbon	8.0	8.0	3.0	6.7	10.0	(not rated)	2	59
Victas Dynawood	9.0	9.5	5.0	6.7	10.0	9.0	1	135
Victas Dynawood Power	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	135
Victas Fire Fall AC	9.0	7.9	8.0	6.2	8.3	8.8	3	101
Victas Fire Fall FC	8.5	9.4	5.0	5.5	8.9	9.6	18	101
Victas Fire Fall LC	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	101
Victas Fire Fall SC	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	101
Victas Fire Fall VC	9.5	9.5	7.8	8.3	10.0	9.6	5	140
Victas Koji Matsushita	6.9	9.4	3.3	3.2	10.0	9.7	3	95
Victas Koji Matsushita Defensive	5.3	9.3	5.7	4.2	10.0	9.3	3	107
Victas Koji Matsushita Offensive	8.2	9.2	6.2	6.7	10.0	9.5	7	107
Victas Koji Matsushita Special	7.8	9.4	5.0	5.2	5.0	9.2	1	110
Victas Koki Niwa	9.2	9.0	7.8	6.7	10.0	9.2	4	180
Victas Quartet AFC	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	140
Victas Quartet Allround	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	101
Victas Quartet Hold	8.8	9.0	5.0	5.2	10.0	9.2	1	101
Victas Quartet Hold II	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	101
Victas Quartet II Speed	9.0	8.8	7.0	8.2	10.0	9.8	1	101
Victas Quartet SFC	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	110
Victas Quartet Speed	10.0	8.0	7.0	8.2	10.0	10.0	1	101
Victas Quartet VFC	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	150
Victas Yuto Muramatsu	8.7	9.1	7.0	8.2	10.0	9.9	1	120
Worz Bazooka	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Worz Klondike Bar	8.5	7.5	7.0	5.2	10.0	9.1	2	55
Worz Tri-Carbon	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Xi Enting 280 (X280)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	18
Xi Enting APaQi X969	9.6	9.0	9.0	8.2	10.0	9.5	3	37
Xi Enting Dolphin 606 (X606)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	22
Xi Enting Flying Dragon X360	9.0	8.0	7.0	8.2	(not rated)	8.0	1	20
Xi Enting Phoenix X580	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	34
Xi Enting Shark 686	9.3	8.9	7.3	7.8	8.8	8.9	15	30
Xi Enting Tiger 560	8.7	8.6	5.5	7.8	9.2	8.7	8	25
Xi Enting Triceratops X460	9.0	8.0	7.0	8.2	(not rated)	(not rated)	1	25
Xi Enting Whale X636	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Xi Enting ZL603	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	33
Xi Enting ZL609	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	25
Xi Up Decimate	9.0	8.0	5.0	5.2	5.0	9.0	1	35
Xi Up Power Combi Light	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	55
Xi Up Touch Combi Light	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	55
Xiom Acro	8.4	8.4	4.7	4.2	10.0	8.6	6	65
Xiom Aigis	6.7	9.6	1.6	4.0	8.6	9.0	14	65
Xiom Allround S	8.1	9.4	3.8	5.9	8.3	9.4	5	50
Xiom Amadeus	8.4	8.7	8.5	6.5	10.0	9.1	9	123
Xiom Aria	8.7	8.5	5.4	5.8	10.0	8.9	13	65
Xiom Aria Lite	8.2	8.5	6.3	5.5	8.3	9.1	7	55
Xiom Athena Hinoki Platinum RSM Special	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	1000
Xiom Athena Platinum CP	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	900
Xiom Athena RSM Gold	9.6	8.1	6.0	7.5	10.0	9.1	3	750
Xiom Athena RSM Platinum	9.1	8.2	8.0	6.3	7.9	9.1	7	500
Xiom Athena RSM Silver	9.0	7.2	5.0	5.2	10.0	9.1	1	300
Xiom Axelo	9.4	8.3	7.1	7.1	9.4	9.2	20	95
Xiom Control ALL+	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	110
Xiom Control OFF	9.0	8.0	7.0	8.2	10.0	9.0	1	108
Xiom Control OFF-	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	108
Xiom Cyx Euro	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Xiom Cyx Pro	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Xiom Cyx Tour	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Xiom Diva	8.3	9.4	4.7	5.3	9.2	9.2	22	38
Xiom Extreme S	9.2	8.9	6.9	6.4	10.0	9.4	18	50
Xiom Feel AX	8.5	9.5	7.0	8.2	10.0	9.5	1	85
Xiom Feel HX	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	105
Xiom Feel HX PRO	9.2	9.4	6.0	3.7	10.0	9.0	2	120
Xiom Feel S7	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	70
Xiom Feel SX	8.5	8.5	5.0	5.2	5.0	8.8	1	100
Xiom Feel ZX1	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	115
Xiom Feel ZX2	9.8	9.7	5.7	6.2	10.0	9.5	4	130
Xiom Feel ZX3	9.0	9.5	7.0	5.2	10.0	9.5	1	220
Xiom Fuga	8.3	8.0	4.2	5.6	7.5	8.8	22	62
Xiom Giga Gold	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	180
Xiom Giga Lee Chul Seung Gold	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	120
Xiom Giga Lee Chul Seung Platinum	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	170
Xiom Giga Platinum	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	225
Xiom Guarneri	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Xiom Hayabusa Z	8.5	9.0	3.0	5.2	10.0	9.3	1	130
Xiom Hayabusa Z+	9.5	9.3	5.8	5.8	10.0	9.5	5	150
Xiom Hayabusa Zi	8.6	8.5	6.2	7.0	10.0	8.4	7	140
Xiom Hayabusa ZX	8.9	8.9	4.3	5.0	9.2	9.1	6	180
Xiom Hayabusa ZXi	9.6	8.7	7.0	7.2	9.4	9.3	30	180
Xiom Hibi O	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	120
Xiom Hinoki S7	8.7	9.0	5.0	8.2	(not rated)	8.5	1	100
Xiom ICE CREAM AZX	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	175
Xiom ICE CREAM AZXi	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	215
Xiom Ignito	9.1	9.1	5.8	6.0	9.5	9.4	14	71
Xiom Jazz	7.1	8.5	3.5	3.3	8.3	8.8	6	75
Xiom KATANA Platinum CP	9.0	7.0	10.0	2.2	5.0	9.0	1	800
Xiom KATANA Platinum Special CP	9.1	9.5	7.0	3.0	10.0	9.3	2	950
Xiom Magellan	7.5	9.0	2.5	3.6	10.0	8.5	2	125
Xiom Maximus OFF	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	75
Xiom Maximus OFF-	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	76
Xiom Michelangelo	6.5	8.3	7.3	5.1	8.3	7.8	3	125
Xiom Musa Asia	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	50
Xiom Musa Euro	6.0	9.5	3.0	6.7	10.0	8.5	1	50
Xiom Offensive S	8.2	9.1	4.6	5.5	9.7	9.4	31	37
Xiom Omega Euro	8.5	9.0	7.0	5.2	(not rated)	9.5	1	110
Xiom Omega Pro	9.2	9.5	4.3	6.7	10.0	9.6	3	117
Xiom Omega Tour	9.0	9.4	7.0	6.0	10.0	9.5	2	130
Xiom Ovid ALL	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	76
Xiom Ovid ALL+	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	66
Xiom Power	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	90
Xiom Power Hinoki	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	85
Xiom Powerlite	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Xiom Powerlite Plus	9.0	7.0	10.0	2.2	10.0	9.0	1	100
Xiom Requiem	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	209
Xiom RSM Athena Gold CP	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	900
Xiom Solo	8.3	9.3	4.6	5.0	8.6	9.2	7	60
Xiom Speed	9.2	8.9	5.0	3.7	10.0	9.4	3	178
Xiom Stradivarius	8.9	8.6	6.4	6.9	8.8	9.0	47	105
Xiom Strato	9.5	8.8	7.0	6.7	9.0	9.5	29	73
Xiom V1	8.7	9.1	5.9	7.7	10.0	9.3	9	85
Xiom V1 Quad	9.1	8.6	7.0	8.1	8.8	9.3	13	105
Xiom Vega Euro	8.6	9.3	6.1	5.9	9.6	9.5	16	140
Xiom Vega Pro	8.7	9.3	6.1	5.4	9.4	9.4	19	180
Xiom Vega Tour	9.5	9.6	6.7	7.2	10.0	9.5	26	180
Xiom Xiom Athena Hinoki Platinum RSM	10.0	10.0	10.0	10.0	10.0	10.0	1	1000
Xiom Zeta Offensive	9.0	7.5	(not rated)	(not rated)	5.0	6.0	2	45
Xiom Zeta Offensive Plus	8.8	7.3	6.0	8.2	10.0	8.4	3	120
Xiom Zetro Quad	9.0	9.0	5.8	5.1	9.5	9.4	68	95
Xiom Zetro XR	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
XuShaoFa 021	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	33
XuShaoFa Wooden F-4	7.1	6.2	5.0	5.2	5.0	8.0	1	30
XuShaoFa Wooden F-6	8.1	9.0	7.0	6.7	5.0	8.6	1	23
XuShaoFa Wooden F-9	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	20
XVT ALC WHEEL	9.0	8.6	7.7	6.2	5.0	8.8	3	27
XVT Allround Classic	8.2	9.1	4.5	4.1	8.8	8.8	4	15
XVT Archer B Carbon	8.5	7.8	7.0	5.2	5.0	8.2	2	8
XVT Black Knight 7	9.2	9.2	6.1	5.8	10.0	9.2	10	20
XVT Cannon	9.1	9.0	7.0	6.0	10.0	9.2	2	30
XVT Cannon Walnut	8.6	8.9	7.5	6.7	10.0	(not rated)	2	35
XVT Carbo V	8.8	8.8	7.0	6.7	5.0	8.5	1	15
XVT Hinoki ALC Carbon	8.5	9.0	7.0	6.7	10.0	(not rated)	1	30
XVT Hinoki Balsa Carbon	8.7	8.5	7.0	7.5	10.0	9.1	5	22
XVT Hinoki ZL Carbon	9.3	9.3	6.9	6.1	8.3	9.3	8	37
XVT Hybrid	8.7	8.0	(not rated)	(not rated)	(not rated)	8.8	1	22
XVT Nano Carbo 40+	9.3	8.8	8.5	6.7	10.0	9.0	2	27
XVT Rose Wood Nano 7	9.1	8.7	5.7	6.2	8.0	9.2	6	50
XVT Spring ZL	9.0	8.0	7.0	3.7	5.0	(not rated)	1	35
XVT ZL Koto	9.7	9.8	6.3	6.7	8.3	9.8	4	29
XVT ZLC Carbon	9.2	9.0	5.0	6.0	10.0	8.1	2	30
Yasaka Advance 3D	9.0	9.2	4.3	5.0	10.0	9.4	8	50
Yasaka Allround 40	8.0	8.0	(not rated)	(not rated)	10.0	9.0	2	35
Yasaka Allround Plus	7.9	8.9	3.0	3.7	10.0	8.9	4	48
Yasaka Alnade	9.4	9.3	6.0	6.7	10.0	9.7	3	100
Yasaka Balsa	7.5	7.7	6.0	6.2	9.3	7.8	10	38
Yasaka Balsa Plus	8.5	8.1	4.6	5.2	7.0	7.5	6	40
Yasaka Battle Balsa	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	42
Yasaka Carbon 3D	8.0	8.6	5.4	6.7	9.0	8.4	5	75
Yasaka Defender	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	33
Yasaka Dynamix 17	9.5	9.0	8.6	8.7	9.3	9.5	48	73
Yasaka Eagle	7.7	8.0	7.0	7.2	8.3	8.0	3	33
Yasaka Extra	7.4	9.0	4.1	3.9	8.3	9.1	24	40
Yasaka Extra 3 D	8.1	8.7	3.7	3.7	10.0	8.7	3	35
Yasaka Extra 3D Soft Carbon	8.2	8.2	4.5	7.1	10.0	8.4	4	60
Yasaka Extra 7	8.1	8.3	5.5	5.6	10.0	8.7	4	30
Yasaka Extra Offensive 7 Power	9.2	8.9	6.5	7.3	9.2	9.4	15	45
Yasaka Extra Special	8.6	8.8	5.4	6.1	8.4	8.9	23	75
Yasaka Galaxya	8.3	9.0	5.0	3.7	8.8	8.9	5	55
Yasaka Galaxya Carbon	9.4	8.3	7.6	7.7	10.0	8.9	5	70
Yasaka Galaxya Carbon Special	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	72
Yasaka Gatien 2040	6.2	8.3	4.3	4.7	10.0	7.5	3	31
Yasaka Gatien Allround	6.7	9.3	5.0	5.2	10.0	9.0	3	42
Yasaka Gatien Carbon 3D	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	1	65
Yasaka Gatien Extra	7.6	8.9	3.7	4.6	9.2	8.8	41	38
Yasaka Gatien Extra 3D	7.8	8.6	3.0	4.7	9.0	8.6	7	42
Yasaka Gatien OVERDRIVE Metal	8.6	8.5	6.7	6.9	10.0	8.9	7	40
Yasaka Goiabao 5	9.4	9.1	5.9	7.1	9.8	9.6	26	52
Yasaka Hasha Deluxe	9.8	8.5	7.0	8.2	10.0	10.0	3	63
Yasaka Hasha Special	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	96
Yasaka Henzell Platinum	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Yasaka Hinoki Leo 11	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	100
Yasaka Hinoki Leo 7	9.1	9.0	4.6	7.0	9.0	9.1	5	80
Yasaka Kan Yo Fiber Special	8.5	8.0	5.0	6.7	(not rated)	(not rated)	2	0
Yasaka Katsura	7.0	7.0	7.0	8.2	10.0	8.0	1	52
Yasaka Ma Lin Carbon	8.7	8.2	5.4	6.1	8.1	8.7	19	60
Yasaka Ma Lin Extra Offensive	8.6	8.5	5.8	6.8	8.7	9.1	66	34
Yasaka Ma Lin Extra Special	9.0	9.0	3.8	5.5	10.0	9.2	5	60
Yasaka Ma Lin Hard Carbon	8.9	8.3	5.7	8.2	8.3	9.0	3	70
Yasaka Ma Lin Max Carbon	9.2	9.0	6.0	7.1	10.0	9.1	5	54
Yasaka Ma Lin Soft Carbon	7.8	8.0	4.8	4.1	6.0	8.3	17	50
Yasaka Mark V Special Edition	7.7	7.8	4.3	5.2	7.5	7.2	3	39
Yasaka Max Carbon 3D	9.7	8.3	8.9	8.9	9.3	9.3	15	62
Yasaka Max Wood	9.1	7.8	6.2	6.7	7.0	8.6	6	41
Yasaka Musashi	8.8	8.5	3.3	4.5	7.5	8.8	6	50
Yasaka Musashi Carbon	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	72
Yasaka Musashi Delux	8.9	9.0	5.6	4.6	10.0	9.0	7	44
Yasaka Musashi Gold W76	9.5	9.0	7.0	5.2	10.0	9.5	1	109
Yasaka Musashi Special	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	68
Yasaka Offensive 40	8.5	10.0	5.0	10.0	5.0	10.0	1	39
Yasaka Overdrive	9.0	8.8	7.0	5.2	10.0	9.4	1	45
Yasaka Reinforce AC	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	70
Yasaka Reinforce HC	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	70
Yasaka Reinforce LT	8.7	9.3	5.0	5.2	10.0	9.9	2	70
Yasaka Reinforce SI	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	70
Yasaka Silverline 9 Wood	9.6	8.4	7.0	8.2	10.0	9.0	2	41
Yasaka Silverline All Wood	8.4	9.2	6.2	7.0	10.0	9.3	6	34
Yasaka Silverline Carbon	9.1	8.7	5.4	6.7	9.0	9.3	10	50
Yasaka Spelancer	9.7	6.9	8.5	8.9	9.4	8.8	8	100
Yasaka Sweden Classic	6.8	9.2	2.8	3.5	6.3	8.7	24	40
Yasaka Sweden Classic Japan	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	40
Yasaka Sweden Defensive	6.5	9.5	3.0	2.2	10.0	8.6	1	45
Yasaka Sweden EK Carbon	9.0	8.4	7.5	6.0	10.0	9.1	2	56
Yasaka Sweden Extra	7.9	9.5	2.7	4.1	9.5	9.3	15	42
Yasaka Sweden Guardian	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	45
Yasaka Sweeper	5.4	9.3	4.0	3.2	10.0	9.1	4	45
Yasaka Swift S	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	32
Yasaka Synergy	8.6	7.8	7.0	6.7	10.0	8.5	2	41
Yasaka TwoFace	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	39
Yasaka X1	9.4	7.4	6.9	6.5	7.2	8.3	10	46
Yasaka Yagyu	8.0	9.0	5.0	6.7	10.0	8.5	1	33
Yasaka Yagyu 3 (III)	9.5	8.8	8.5	9.1	10.0	8.8	2	48
Yasaka Yagyu Carbon	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	80
Yasaka Yagyu Delux	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	44
Yasaka Yagyu Gold W86	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	109
Yasaka Yagyu Special	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	68
