Rubber	Speed	Spin	Control	Tacky	Weight	SpongeHardness	Gears	ThrowAngle	Consistency	Durable	Overall	Ratings	Price
Avalox Sogno	10.0	10.0	10.0	10.0	8.0	10.0	10.0	10.0	10.0	10.0	10.0	1	15
Avalox Sogno 40	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	30
Avalox Sterco	8.6	8.5	7.9	0.8	4.0	2.6	6.6	5.5	9.2	6.6	8.4	9	32
Banda China TS	7.0	9.0	8.0	5.0	6.0	5.0	10.0	6.0	5.0	5.0	(not rated)	2	25
Banda Helix	8.5	8.0	8.0	2.0	4.0	7.0	4.0	4.0	10.0	7.0	8.0	1	30
Banda Helix Energix	8.9	7.7	7.6	3.2	4.0	5.0	6.5	2.7	8.3	5.6	8.5	7	24
Banda Motion	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	18
Banda Rossa	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	25
Banda Rossa Soft	7.1	7.8	7.8	0.0	5.5	4.3	4.8	2.5	10.0	6.7	6.9	6	25
Banda Sigma	8.3	7.3	8.2	1.2	2.4	2.8	7.0	2.8	8.3	5.0	8.1	6	33
Bomb Bombard Hard (43-46°)	8.5	8.1	7.5	3.5	6.4	9.3	4.8	2.8	5.0	5.0	8.4	5	17
Bomb Bombard Medium (42-45°)	8.0	8.0	8.0	(not rated)	8.0	7.0	(not rated)	6.0	(not rated)	(not rated)	(not rated)	1	7
Bomb Bombard Soft (40-43°)	9.0	9.0	9.0	2.0	6.0	7.0	7.0	2.0	(not rated)	7.0	(not rated)	1	9
Bomb Mopha	9.1	9.0	8.7	1.1	3.0	6.1	7.9	3.4	7.5	6.8	9.0	9	18
Bomb Raider Tension	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	15
Bomb Raider Tension (Common Type)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	9
Bomb Raider Tension (Economical Type)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	10
Bomb UFO	8.2	7.7	8.3	1.0	3.0	4.0	7.0	2.0	7.5	7.0	8.0	2	18
Bomb UFO G.Tension (German)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	20
Bomb UFO J Tension (Japan)	8.1	8.5	9.5	1.0	4.0	4.0	7.0	3.0	10.0	5.0	9.0	2	15
Bomb Violent (Common Type)	6.3	4.0	6.3	2.0	10.0	10.0	1.0	0.0	0.0	4.0	1.0	3	9
Bomb Violent (Economical Type)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	12
Bomb Violent (Hard)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	21
Butterfly 05	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Butterfly Addoy	5.1	5.3	8.0	1.2	2.4	3.8	3.0	1.1	5.0	5.8	6.4	16	5
Butterfly Bryce	9.0	7.5	6.9	2.0	4.7	5.5	5.5	3.1	7.9	6.0	7.8	31	57
Butterfly Bryce FX	8.6	8.2	8.2	1.6	4.4	2.9	6.0	4.0	7.8	5.0	8.4	23	55
Butterfly Bryce FX PowerSponge	9.2	8.9	8.8	2.0	4.0	5.0	7.0	4.0	5.0	7.0	9.1	1	0
Butterfly Bryce Hard	9.0	8.0	8.5	2.0	4.0	8.5	1.0	1.0	10.0	6.0	8.5	2	35
Butterfly Bryce High Speed	9.5	8.5	8.6	2.4	3.5	4.5	7.6	4.4	9.4	8.1	9.4	21	63
Butterfly Bryce High Tune	9.1	8.8	8.0	1.0	6.0	5.0	10.0	6.0	10.0	7.0	9.1	4	35
Butterfly Bryce PowerSponge	8.0	9.0	8.0	2.0	2.0	3.0	10.0	2.0	10.0	10.0	8.0	1	0
Butterfly Bryce Speed	9.4	8.3	8.0	1.4	5.4	6.7	6.2	2.7	8.2	7.3	9.0	43	79
Butterfly Bryce Speed FX	9.4	8.4	8.4	2.5	4.3	3.4	7.2	3.4	8.9	6.9	9.1	44	65
Butterfly Catapult	9.0	8.7	8.7	2.3	4.0	2.1	6.5	3.4	7.5	5.7	8.4	9	52
Butterfly Cermet	8.6	8.2	8.3	0.9	2.8	4.0	8.3	2.9	10.0	7.8	8.9	10	43
Butterfly Dignics 05	9.2	9.3	8.9	1.4	6.0	7.6	8.3	6.6	9.2	9.4	9.2	9	120
Butterfly Ekrips	6.9	5.8	6.3	2.0	2.7	4.3	2.0	2.7	10.0	4.3	5.5	4	37
Butterfly Ekrips Soft	7.9	7.3	8.1	1.0	1.3	2.8	4.8	2.5	8.8	7.5	7.7	4	35
Butterfly Flextra	7.1	7.6	8.7	2.5	2.8	2.5	5.8	3.7	9.4	6.9	7.9	54	20
Butterfly Gignics	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Butterfly Largestorm	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Butterfly Morim	6.0	(not rated)	9.5	(not rated)	2.0	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	9.5	1	100
Butterfly Pan Asia	6.4	6.6	8.0	2.1	2.1	2.1	5.3	3.9	8.2	4.8	6.6	17	10
Butterfly Roundell	8.8	8.7	8.7	2.5	4.3	3.8	6.0	5.4	8.5	6.1	8.8	27	48
Butterfly Roundell Hard	8.9	9.2	8.1	1.3	5.0	7.3	7.0	6.0	10.0	8.5	9.0	3	45
Butterfly Roundell Soft	8.7	8.8	8.8	2.5	2.5	0.6	8.3	4.6	10.0	7.2	9.0	15	45
Butterfly Rozena	8.8	8.7	8.9	2.0	4.4	5.3	7.3	5.3	8.7	7.3	9.0	38	38
Butterfly Sapphira	8.2	8.5	8.0	2.7	6.0	3.4	6.6	5.2	9.0	7.3	8.4	11	32
Butterfly SOFT D13	8.2	8.3	9.2	4.6	3.2	5.0	5.8	6.0	9.0	6.0	8.3	5	8
Butterfly Solcion	7.9	8.3	9.0	1.5	2.8	0.2	7.8	5.9	9.7	7.7	8.9	22	53
Butterfly Spin Art	8.5	9.3	8.9	5.9	7.7	9.0	9.2	5.9	9.3	8.2	9.2	48	68
Butterfly Sriver	8.1	8.0	8.5	2.4	4.3	5.3	7.5	3.9	9.1	7.7	8.5	92	40
Butterfly Sriver EL	7.8	7.8	8.5	2.7	4.0	4.0	6.9	4.4	9.3	7.2	8.5	64	40
Butterfly Sriver FX	8.0	8.2	8.6	2.8	3.5	2.6	7.1	4.8	8.4	7.1	8.6	67	40
Butterfly Sriver FX PowerSponge	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	32
Butterfly Sriver G2	8.4	8.2	8.6	2.5	4.0	5.0	6.1	4.0	9.3	7.9	8.7	19	56
Butterfly Sriver G2 FX	7.9	8.2	8.4	1.9	3.9	2.4	7.8	3.1	8.7	8.1	8.4	27	56
Butterfly Sriver G2 High Tune	8.5	8.0	7.5	5.0	4.0	5.0	8.5	3.0	10.0	10.0	8.5	2	67
Butterfly Sriver G3	8.4	8.2	8.7	3.0	4.4	5.1	7.9	4.9	8.8	7.2	8.4	39	57
Butterfly Sriver G3 FX	8.6	8.4	8.6	2.7	3.7	3.3	7.9	7.1	8.0	7.1	8.9	50	59
Butterfly Sriver High Tune	8.3	8.3	7.4	4.0	7.3	5.0	7.0	5.3	2.5	4.3	8.7	7	55
Butterfly Sriver L	8.2	8.2	8.8	2.8	5.2	6.2	8.1	4.3	9.2	8.0	8.7	23	28
Butterfly Sriver PowerSponge	8.0	8.5	6.0	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	7.0	1	40
Butterfly Sriver S	7.3	6.5	6.6	2.3	3.5	4.5	5.5	2.0	7.5	8.0	8.3	4	28
Butterfly Stayer	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Butterfly Super Anti (Anti-spin)	4.4	2.6	6.4	0.0	2.8	1.6	1.6	0.7	8.5	7.1	8.4	18	36
Butterfly Super Anti Special (Anti-spin)	6.0	5.3	7.5	1.7	2.7	3.5	2.5	9.0	10.0	2.5	9.3	4	34
Butterfly Tackifire	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Butterfly Tackifire C	6.8	8.8	8.9	7.3	6.5	7.3	6.0	5.0	6.8	6.2	7.5	15	52
Butterfly Tackifire C Soft	7.4	9.1	8.8	7.1	4.0	2.0	7.0	4.0	9.0	8.2	9.0	14	52
Butterfly Tackifire Drive	7.7	8.8	8.2	5.6	4.4	3.8	6.7	4.8	8.9	6.4	8.4	13	41
Butterfly Tackifire Special	7.4	8.0	9.5	3.5	6.0	9.0	10.0	5.0	10.0	5.0	8.0	3	29
Butterfly Tackifire Special-Soft	7.9	9.1	9.1	3.4	5.9	3.4	8.3	5.6	9.6	8.7	8.9	20	51
Butterfly Tackiness Chop	5.5	9.1	8.6	5.5	3.6	2.1	5.9	6.3	9.5	7.4	8.6	30	35
Butterfly Tackiness Chop 2	6.8	8.9	9.0	4.8	3.7	4.8	6.2	3.4	9.6	6.4	9.0	20	45
Butterfly Tackiness Drive	7.0	8.6	9.0	5.5	4.3	4.8	6.8	5.1	9.8	8.9	8.6	39	35
Butterfly Tempest	8.0	7.8	10.0	2.0	2.0	0.0	4.0	4.0	10.0	7.0	8.3	2	30
Butterfly Tenergy 05	9.3	9.4	8.4	2.4	6.6	6.3	8.8	7.5	9.4	8.0	9.3	307	78
Butterfly Tenergy 05 FX	9.1	9.3	8.9	3.0	5.5	4.1	8.5	5.9	9.5	7.9	9.4	130	75
Butterfly Tenergy 05 Hard	9.1	9.2	8.2	1.7	8.2	9.2	8.0	7.2	9.5	8.2	9.0	12	90
Butterfly Tenergy 25	9.1	9.1	8.7	2.4	6.8	6.7	8.6	4.2	10.0	8.2	9.3	69	78
Butterfly Tenergy 25 FX	9.1	9.2	8.9	3.2	4.2	4.0	9.3	5.0	9.8	8.0	9.5	29	78
Butterfly Tenergy 64	9.3	8.8	8.5	2.6	5.5	5.0	8.6	5.5	9.2	8.0	9.3	159	70
Butterfly Tenergy 64 FX	9.0	8.8	8.5	1.7	4.6	2.9	7.4	4.1	9.6	7.6	9.0	40	78
Butterfly Tenergy 80	9.3	9.4	9.0	2.2	5.5	5.4	8.9	5.9	9.2	7.8	9.4	103	68
Butterfly Tenergy 80-FX	8.9	8.9	8.5	2.1	4.6	3.8	7.6	5.2	8.5	7.7	8.8	21	80
Butterfly Wakaba	5.5	5.6	7.3	0.7	2.4	2.8	4.8	0.4	8.0	5.1	6.4	9	0
Butterfly Wakaba D-13	6.5	6.6	8.7	1.3	4.0	5.0	5.0	3.3	8.3	8.3	7.3	3	0
Butterfly Yuki	6.6	6.8	7.9	7.1	4.2	5.1	3.0	3.3	7.8	6.6	7.1	14	30
Champion Apache	9.2	9.3	9.4	2.0	4.0	7.0	10.0	4.0	10.0	7.0	9.3	1	26
Champion Next	7.6	7.3	7.3	0.0	4.0	3.5	5.5	4.0	10.0	10.0	7.3	4	19
Cornilleau Drive Intens	(not rated)	(not rated)	(not rated)	0.0	2.0	3.0	4.0	6.0	(not rated)	(not rated)	(not rated)	1	37
Cornilleau Drive Speed	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Cornilleau Drive Spin	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Cornilleau Pilot Advance	9.4	9.1	7.9	0.4	4.0	5.0	7.0	2.8	8.3	5.5	9.1	7	47
Cornilleau Pilot Control	7.4	7.2	8.9	4.0	2.0	3.5	9.0	5.0	5.0	6.3	8.1	5	41
Cornilleau Pilot Fast	8.8	9.0	8.6	2.0	4.0	6.0	1.0	5.0	7.5	7.0	9.0	2	0
Cornilleau Pilot Power	8.3	7.7	7.6	1.2	3.0	0.5	7.0	2.7	10.0	8.4	8.4	7	48
Cornilleau Pilot Sound	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Cornilleau Pilot Sound Power	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	45
Cornilleau Pilot Style	8.1	8.9	8.6	0.0	3.0	4.2	8.2	5.0	7.0	7.3	8.7	5	44
Cornilleau Start Up	7.9	8.8	10.0	0.0	2.0	3.0	4.0	4.0	10.0	10.0	9.3	1	0
Cornilleau Target Force 42.5	8.9	9.0	8.3	2.3	5.3	5.0	10.0	5.0	10.0	10.0	9.2	3	63
Cornilleau Target Force 45	8.8	8.9	9.3	3.5	5.0	5.5	7.8	5.0	8.8	8.8	9.2	4	0
Cornilleau Target Pro GT X51	9.4	9.2	9.0	1.7	7.2	7.9	8.2	6.2	9.1	7.8	9.3	14	50
Cornilleau Target Pro GT-H47	9.3	9.2	8.7	2.7	6.4	6.8	9.3	6.9	9.3	8.3	9.2	20	70
Cornilleau Target Pro GT-M43	9.0	8.8	8.7	1.3	4.7	4.3	9.0	6.0	10.0	7.3	8.8	3	50
Cornilleau Target Pro GT-S39	8.6	9.1	9.3	0.8	3.0	2.4	5.5	4.4	10.0	6.5	9.1	5	59
Cornilleau Target Sound 37.5	8.6	9.3	8.9	0.8	2.4	1.2	9.3	5.6	10.0	7.3	9.2	6	63
Cornilleau Target Ultim 47.5	9.4	9.2	8.5	2.0	5.0	7.0	7.0	5.0	10.0	8.5	9.2	4	63
Cornilleau Target Ultim 50	8.9	9.3	8.3	3.0	6.0	9.0	9.0	4.7	10.0	10.0	9.1	3	0
CTT National Hero	7.5	9.0	7.5	7.2	3.6	4.2	7.8	2.0	10.0	8.5	8.7	8	17
CTT National Pride	8.2	8.5	8.1	4.4	4.0	5.8	8.2	3.2	10.0	7.3	8.1	5	14
CTT National Strike	7.3	8.6	8.4	6.2	2.5	3.3	5.7	2.8	7.0	6.5	8.2	10	14
Darker Provine	8.3	9.0	8.0	0.7	4.0	4.3	9.0	5.3	6.7	(not rated)	9.0	3	0
Darker Provine SV	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Darker Spalbird	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	48
Darker VLON-S Black D	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	20
Darker VLON-S Black V	8.8	8.7	8.6	8.0	6.0	10.0	4.0	2.0	(not rated)	7.0	8.0	1	18
Darker VLON-S Blue V	8.9	9.1	8.5	7.2	5.2	7.4	9.5	6.3	8.6	7.8	9.2	19	11
Darker VLON-S Purple D	8.8	9.2	8.9	5.0	5.3	7.3	6.0	5.3	8.3	9.0	9.2	3	18
Darker VLON-S Red D	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Darker VLON-S Red V	8.6	8.7	8.8	2.0	5.0	4.0	5.5	5.0	10.0	7.0	8.7	2	17
Darker VLON-S Silver D	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	22
Darker VLON-S Silver V	8.8	9.1	8.8	5.0	3.0	3.0	2.5	5.0	10.0	7.0	8.6	2	19
Dawei 08	8.6	8.0	8.2	6.5	6.5	5.5	9.3	4.5	7.5	6.7	8.4	4	14
Dawei 2008 (Super Power)	7.4	7.3	8.0	3.5	6.0	4.8	5.5	4.8	5.0	7.3	7.8	9	8
Dawei 2008 XP (Super Power)	7.9	8.1	8.1	4.2	6.8	6.9	5.6	4.4	6.9	8.1	8.0	35	9
Dawei 388A-4 Speed+Spin Type	8.9	9.3	8.3	5.8	4.5	8.5	6.3	6.0	8.8	7.3	8.9	4	10
Dawei Genote Peak Power	8.5	8.8	9.1	4.6	5.5	4.8	9.6	5.0	9.2	7.6	9.1	8	14
Dawei Inspirit	8.0	8.5	8.1	2.4	5.4	4.9	5.8	3.9	6.3	8.0	8.9	24	12
Dawei Inspirit Quattro	8.8	8.1	8.0	2.4	6.5	4.3	5.8	3.7	8.3	7.4	8.5	29	14
Dawei Inspirit Quattro Ultralight 38	8.5	8.2	9.4	2.5	3.0	4.0	4.0	5.0	10.0	7.0	9.0	2	16
Dawei Inspirit Quattro Ultralight 40	8.7	8.2	8.6	2.9	3.5	5.4	8.0	4.3	9.7	8.4	8.9	23	16
Dawei Inspirit Quattro Ultralight Power 42	8.8	7.9	8.3	2.4	4.8	6.1	5.7	4.0	8.6	6.9	8.4	8	16
Dawei Inspirit Quattro Ultralight SV 35	8.3	8.5	8.6	2.9	3.9	2.2	7.1	4.1	9.3	7.7	8.8	22	16
Dawei Navigator GT-A	7.8	8.0	8.3	8.0	8.0	7.0	8.5	6.0	10.0	7.5	8.5	2	13
Dawei Navigator GT-A4	8.2	8.2	7.8	5.5	6.9	6.0	5.7	6.0	7.5	6.7	7.8	9	9
Dawei Saviga	8.4	8.4	8.6	1.2	5.7	6.9	8.3	2.4	8.8	10.0	9.0	9	16
Dawei Saviga Special	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	19
Dawei Sprungfeder G3 A	8.0	8.0	9.0	(not rated)	4.0	(not rated)	7.0	6.0	10.0	7.0	9.5	1	14
Dawei Sprungfeder G3 A2	7.8	9.1	9.0	7.7	7.0	8.8	6.5	7.5	6.0	6.7	8.8	12	14
Dawei Sprungfeder G3 A4	8.0	7.0	9.0	5.0	2.0	5.0	4.0	6.0	10.0	(not rated)	9.0	1	14
Der Materialspezialist B.A.D. Best Anti Defence	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	60
Der Materialspezialist Beast	4.3	1.0	9.0	0.0	3.0	7.0	10.0	0.0	7.5	10.0	9.5	2	66
Der Materialspezialist Diabolic	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	55
Der Materialspezialist Hardcore	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	42
Der Materialspezialist Hardcore Speed	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	42
Der Materialspezialist Mega-Block	4.3	1.5	9.3	0.0	1.3	4.0	5.0	5.0	7.5	8.5	8.0	3	50
Der Materialspezialist NIGHTMARE	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	60
Der Materialspezialist Reflection Anti	4.3	2.1	9.9	0.0	2.0	5.0	7.0	0.0	10.0	10.0	9.8	1	55
Der Materialspezialist Spinparasite Anti	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	60
Der Materialspezialist Transformer	4.0	1.5	8.5	0.0	2.5	0.0	4.0	1.3	6.7	5.0	8.4	4	60
Derwind Rayhe	8.2	7.3	8.2	5.0	4.0	7.0	4.0	8.0	10.0	6.0	8.2	2	37
Derwind Stolz	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	37
Donic 66GS	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	16
Donic Acuda Blue P1	9.3	9.2	8.8	2.9	4.9	6.1	8.8	6.0	9.3	7.2	9.4	20	44
Donic Acuda Blue P1 Turbo	9.4	9.3	8.9	2.6	5.6	6.9	7.8	5.4	9.4	7.9	8.8	12	54
Donic Acuda Blue P2	9.1	9.4	9.2	2.7	3.8	4.3	8.4	4.6	9.1	7.1	9.5	49	54
Donic Acuda Blue P3	8.0	8.5	9.3	2.5	3.8	1.1	5.9	4.0	7.9	6.5	8.5	8	54
Donic Acuda S1	9.2	9.2	8.3	1.9	4.6	6.8	8.5	5.1	9.0	7.0	9.2	53	52
Donic Acuda S1 Turbo	9.4	9.1	8.3	3.3	6.1	6.9	8.3	6.1	8.4	6.9	9.3	45	52
Donic Acuda S2	8.8	9.1	8.6	2.6	4.3	4.5	8.0	5.1	9.1	7.5	9.2	105	42
Donic Acuda S3	8.4	9.0	8.7	1.8	3.5	1.9	7.8	5.5	9.5	7.4	9.0	70	52
Donic Akkadi Java	9.0	9.5	8.7	8.0	4.0	(not rated)	7.0	6.0	5.0	5.0	9.6	1	0
Donic Akkadi Taichi	6.9	8.9	8.4	5.2	4.8	6.5	6.8	4.5	8.6	6.8	8.4	16	20
Donic Akkadi Taichi (Red)	7.4	9.1	8.6	5.0	5.5	5.8	9.3	4.5	8.8	8.5	9.2	5	38
Donic Alligator Anti	4.0	3.0	9.8	0.0	4.0	10.0	1.0	0.0	10.0	10.0	9.8	1	40
Donic Anti A40 (Anti-spin)	6.0	3.3	8.5	0.0	5.0	4.0	2.5	1.0	7.5	6.0	7.0	2	40
Donic Anti Classic	3.5	2.5	9.5	2.0	2.0	0.0	5.5	1.0	10.0	10.0	9.3	2	43
Donic Anti-40	4.1	3.0	8.5	0.0	2.0	(not rated)	7.0	4.0	10.0	10.0	10.0	1	40
Donic Baracuda	8.7	9.5	8.6	2.3	5.4	4.8	8.0	7.3	9.0	7.6	9.3	187	40
Donic Baracuda Big Slam	8.2	9.2	8.5	2.1	4.5	2.5	6.5	5.8	9.5	6.8	8.8	29	46
Donic Bluefire	10.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	1	50
Donic Bluefire Big Slam	7.8	8.1	7.3	2.5	6.7	3.3	7.0	4.7	7.5	5.0	7.8	5	50
Donic Bluefire JP 01	8.8	9.0	8.8	2.6	6.0	6.5	8.0	5.7	8.8	7.3	8.9	26	54
Donic Bluefire JP 01 Turbo	9.4	9.5	8.6	3.7	5.1	6.4	8.8	6.2	9.6	8.5	9.5	21	54
Donic Bluefire JP 02	8.9	8.7	8.6	1.8	6.0	5.1	8.1	4.9	8.7	7.2	9.1	18	54
Donic Bluefire JP 03	8.6	9.1	9.4	2.0	5.3	3.4	7.4	5.7	9.4	6.7	9.3	47	54
Donic Bluefire M1	9.3	9.2	8.4	2.8	6.0	7.3	8.1	6.4	9.4	7.6	9.3	79	54
Donic Bluefire M1 Turbo	9.4	9.5	8.4	2.6	6.6	7.8	8.7	6.7	9.3	7.0	9.4	28	54
Donic Bluefire M2	8.7	9.1	8.7	2.0	5.9	5.5	8.5	6.3	9.6	6.7	9.0	45	54
Donic Bluefire M3	8.3	9.1	8.9	1.8	5.4	3.1	8.0	7.2	8.7	7.8	8.9	43	54
Donic BlueGrip R1	9.5	10.0	9.0	8.0	6.0	7.0	10.0	8.0	10.0	10.0	9.5	1	0
Donic BlueGrip V1	10.0	10.0	10.0	8.0	6.0	7.0	10.0	6.0	10.0	10.0	10.0	1	0
Donic Blues	6.5	6.5	8.5	0.0	4.0	5.0	7.0	0.0	10.0	10.0	9.0	2	38
Donic Bluestorm Big Slam	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	49
Donic Bluestorm Z1	9.2	9.3	8.7	1.9	5.9	6.2	8.4	5.9	8.8	5.9	9.2	20	60
Donic Bluestorm Z1 Turbo	9.8	9.8	8.0	2.0	8.0	10.0	8.5	3.0	10.0	7.0	9.9	2	52
Donic Bluestorm Z2	9.3	8.8	8.5	2.2	5.1	6.6	8.7	5.2	8.6	5.5	8.5	11	48
Donic Bluestorm Z3	8.8	8.2	8.3	2.9	4.3	2.1	5.9	3.6	9.0	4.2	8.0	10	60
Donic Coppa	8.4	8.9	8.7	4.2	5.1	5.8	7.7	4.5	10.0	7.3	9.0	14	37
Donic Coppa JO	8.6	8.9	9.0	3.0	2.8	4.6	7.6	4.8	10.0	8.2	9.0	6	34
Donic Coppa JO Gold	9.2	8.7	8.3	3.0	4.4	6.6	7.0	4.4	7.6	5.9	8.9	25	38
Donic Coppa JO Platin	9.3	8.8	7.6	1.8	3.8	5.1	6.8	3.9	8.6	4.8	8.8	34	49
Donic Coppa JO Platin Soft	8.8	8.1	7.4	1.8	4.0	2.3	6.3	4.1	6.1	4.5	8.2	16	40
Donic Coppa JO Silver	8.6	8.8	8.2	2.5	3.5	3.0	6.7	4.8	8.4	5.9	8.8	28	45
Donic Coppa Speed	9.3	8.9	8.2	2.3	4.5	6.8	8.0	3.5	9.5	8.3	9.1	14	54
Donic Coppa Tagora	8.3	8.8	8.9	2.3	2.0	1.7	6.7	4.4	10.0	6.6	8.7	10	37
Donic Coppa Tenero	7.6	8.8	8.3	4.0	3.5	1.9	7.0	4.5	10.0	6.0	8.5	9	44
Donic Coppa X1 Gold	9.1	8.6	8.5	2.2	4.1	5.7	8.8	4.5	8.8	7.0	9.1	17	49
Donic Coppa X1 Turbo Platin	9.5	9.2	8.4	2.0	4.1	6.1	7.9	4.2	8.9	7.9	9.4	51	49
Donic Coppa X2 Platin Soft	8.7	9.1	8.8	2.3	3.3	3.0	8.2	4.2	8.5	6.9	9.2	24	54
Donic Coppa X3 Silver	8.4	9.2	8.7	2.1	2.1	0.7	7.0	3.2	9.6	6.8	9.2	18	55
Donic Desto F1	9.4	8.4	7.1	1.9	4.5	4.4	7.0	6.3	7.9	4.6	8.8	19	40
Donic Desto F1 HS	9.4	8.0	6.3	2.5	6.0	9.3	5.0	4.7	10.0	5.7	8.2	5	45
Donic Desto F1 Plus	9.2	9.2	9.0	0.7	5.3	4.3	10.0	3.3	10.0	7.5	9.7	4	58
Donic Desto F2	8.7	8.7	8.1	2.0	4.0	5.0	5.5	5.3	7.1	5.8	9.1	10	44
Donic Desto F3	7.2	8.4	8.2	1.5	3.6	1.5	4.9	4.9	8.8	5.3	8.4	16	39
Donic Desto F3 Big Slam	7.8	8.5	8.6	0.6	1.9	0.2	6.9	5.4	7.4	4.2	8.9	31	45
Donic Desto F4	8.8	8.8	8.8	0.0	5.0	3.0	4.0	6.0	5.0	7.0	7.9	2	37
Donic Energy 3000	9.1	9.5	7.9	5.0	4.0	5.0	4.0	4.0	10.0	5.0	9.1	1	15
Donic Gallardo Power Sound	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	2	44
