Rubber	Speed	Spin	Control	Tacky	Weight	SpongeHardness	Gears	ThrowAngle	Consistency	Durable	Overall	Ratings	Price
Yasaka Mark V AD	7.9	8.5	8.4	0.0	4.5	2.2	6.5	3.7	7.1	6.4	8.3	12	30
Yasaka Mark V GPS	7.5	7.9	8.3	3.9	3.4	3.3	6.3	4.7	9.4	7.6	8.4	12	30
Yasaka Mark V GPS Soft	8.3	8.4	8.4	4.6	4.6	4.1	9.5	4.0	8.0	8.6	9.4	8	35
Yasaka Mark V HPS	9.1	9.1	9.0	4.2	3.7	4.7	9.0	4.3	8.8	7.8	9.4	51	45
Yasaka Mark V HPS Soft	8.8	9.0	8.6	2.7	3.9	3.1	8.4	4.4	9.8	8.6	9.0	25	44
Yasaka Mark V M2	8.7	8.4	8.5	3.3	4.6	4.3	6.3	3.3	8.6	7.2	8.8	16	32
Yasaka Mark V XS	8.4	8.6	8.3	3.3	3.6	4.1	7.4	3.3	8.3	8.3	8.9	17	46
Yasaka New Era	8.2	8.3	7.6	6.3	5.0	7.8	6.3	5.5	10.0	6.9	8.7	15	27
Yasaka Original	6.3	5.6	8.9	2.4	2.8	2.8	5.2	5.0	9.0	7.4	7.3	5	20
Yasaka Original Extra XHG	7.2	7.6	8.2	2.0	2.4	2.8	5.8	3.6	10.0	7.8	7.7	5	18
Yasaka Pryde	8.5	8.0	7.3	3.3	4.6	4.7	5.8	5.2	6.5	4.3	8.2	22	37
Yasaka Pryde 30	8.3	7.5	8.3	0.9	2.5	0.3	8.1	1.8	7.9	6.5	8.0	9	43
Yasaka Pryde 40	9.2	8.5	7.1	4.1	3.8	6.0	7.0	5.3	7.5	5.3	8.6	12	45
Yasaka Rakza 7	9.1	9.3	8.9	3.0	5.0	6.1	8.9	5.5	9.6	8.0	9.5	177	38
Yasaka Rakza 7 Soft	8.6	9.3	9.1	2.6	3.7	2.5	8.1	5.6	9.7	7.7	9.3	103	50
Yasaka Rakza 9	9.5	9.3	8.9	2.4	4.6	6.3	8.6	4.2	9.2	8.7	9.4	65	53
Yasaka Rakza X	9.0	9.1	9.1	2.5	4.5	6.2	9.0	4.5	10.0	8.3	9.4	33	42
Yasaka Rakza X Soft	8.2	8.4	8.7	1.4	4.4	2.8	7.7	5.6	10.0	8.1	8.4	14	60
Yasaka Rigan	8.8	8.9	9.3	2.0	5.0	3.0	8.5	5.0	10.0	8.5	9.0	2	35
Yasaka Rising Dragon	8.9	9.5	9.3	6.0	5.5	6.5	9.1	4.4	8.8	8.2	9.4	58	37
Yasaka Shining Dragon	8.8	9.2	9.0	7.1	4.5	5.6	8.7	6.1	9.4	8.0	9.0	21	37
Yasaka V Stage	8.9	9.2	8.6	3.0	3.8	4.3	7.8	2.4	10.0	7.2	9.2	12	52
Yasaka Valmo	9.6	9.4	8.9	2.1	4.8	6.6	9.1	4.8	10.0	9.3	9.4	11	45
Yasaka Xtend	9.0	8.9	9.0	3.8	2.8	1.8	8.0	5.1	8.5	6.3	9.2	14	44
Yasaka Xtend HS	9.3	9.2	9.2	2.3	3.4	2.3	7.3	2.8	8.6	6.5	9.3	29	44
Yasaka Xtend SD	8.7	9.2	9.0	5.0	4.0	3.0	4.0	4.0	10.0	5.0	9.0	1	49
Yasaka Xtend SG	7.2	8.0	9.5	4.0	4.0	3.0	7.0	4.0	10.0	6.0	8.3	2	33
Yasaka Zap 36	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Yasaka Zap 36-38°	8.6	8.7	9.3	1.6	4.0	2.8	5.8	3.6	10.0	9.3	9.0	6	10
Yasaka Zap 42-44°	7.0	9.5	9.5	5.0	4.0	6.0	5.5	5.0	10.0	7.0	8.0	3	14
Yasaka Zap Balance	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	14
Yasaka Zap Biotech 36-38	8.0	8.3	8.5	2.6	4.3	3.0	7.0	5.1	6.7	8.6	8.8	13	46
Yasaka Zap Biotech 40-42	7.8	7.9	8.5	2.0	3.0	7.0	5.5	4.0	5.0	5.0	8.9	2	9
Yasaka Zap Ma Lin Forehand	6.8	8.2	8.0	5.0	4.7	5.7	5.0	5.3	6.7	6.0	8.3	4	11
Yasaka Zap Speed	8.7	7.7	8.3	2.0	7.3	7.0	7.0	5.3	6.7	7.5	8.5	3	14
Yasaka Zap Spin	7.8	8.0	8.7	3.0	3.7	2.5	7.0	5.0	10.0	6.6	7.9	7	12
Yashima ts824	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	5
