종목	코드	현재가	시가총액	PER	E_PER	PBR	ROE	배당수익률
범양건영	002410	3070	775	4.05		1.09	32.82	
유한양행	000100	52500	34,699	25.18	22.00	1.87	9.42	0.74
유니온	000910	7040	1,083			1.02	-14.93	1.44
NH투자증권	005940	9920	28,422	6.38	9.00	0.56	6.14	4.95
수산중공업	017550	1595	888	54.83		0.82	0.15	0.61
모베이스전자	012860	1395	733			0.48	-8.51	
코센	009730	440	428			9.96	-447.99	
일진머티리얼즈	020150	49000	22,871	48.82	38.00	4.00	9.73	0.10
GS리테일	007070	43850	33,726	18.69	16.00	1.56	9.65	1.71
현대위아	011210	35850	9,940	8.43	9.00	0.31	3.58	1.91
부산주공	005030	362	153			0.58	-52.37	
태광산업	003240	752000	8,417	4.76		0.20	4.34	0.20
서흥	008490	51100	5,831	17.02	14.00	1.83	12.94	0.79
대창단조	015230	23900	683	4.20		0.35	8.12	4.60
동방	004140	2200	731			0.81	-8.33	
CJ대한통운	000120	159500	36,158	51.28	42.00	0.95	2.82	
케이비아이동국실업	001620	584	388			0.23	-1.19	
세기상사	002420	49350	208			0.95	-4.11	
이수화학	005950	9570	1,477	189.61		0.47	-2.40	4.14
전방	000950	12900	217			0.19	-38.44	
세우글로벌	013000	1905	544	44.07		1.24	0.23	
삼정펄프	009770	27500	684	8.58		0.36	2.56	
일신석재	007110	2430	1,917	206.25		3.69	1.77	
대림제지	017650	1635	729	28.93		0.48	1.64	
대신정보통신	020180	1165	457			1.82	6.40	0.84
삼화전자	011230	3020	306			2.58	-23.62	
코스모신소재	005070	12600	3,714			2.50	5.94	
흥아해운	003280	258	301			1.05	-98.70	
일정실업	008500	10500	122			0.43	-37.57	
에이엔피	015260	256	219			0.38	-9.67	
종근당홀딩스	001630	121500	5,937	15.50		1.25	11.45	1.10
하이트진로홀딩스	000140	16500	3,783	1,018.75		0.81	-4.65	2.15
한솔홀딩스	004150	3125	1,306	5.80		0.30	1.60	
삼익악기	002450	1480	1,353	14.24		0.55	6.27	3.34
동부건설	005960	9350	2,098	2.85		0.51	15.30	7.30
엠에스씨	009780	4630	819	6.97		0.91	13.76	1.29
대동금속	020400	8140	212			0.60	-	0.74
한국주철관	000970	9820	2,291	22.79		0.81	2.54	1.99
하이록코리아	013030	13250	1,824	14.15		0.53	5.30	3.73
SK텔레콤	017670	212000	170777	20.82	12.00	0.68	5.93	4.73
미래아이앤지	007120	388	506	3.10		0.70	22.50	
태림포장	011280	3660	2,616	14.05		0.83	5.88	7.85
메리츠증권	008560	3410	21,143	4.39	6.00	0.58	10.79	5.84
한일홀딩스	003300	46550	2,814	20.38		0.28	1.38	4.90
삼광글라스	005090	29300	1,420	45.28		0.52	-0.07	3.42
부산가스	015350	35750	3,932	8.58		0.52	7.57	2.80
대상	001680	26150	8,749	6.64	8.00	0.88	11.02	2.38
신세계	004170	238500	23,678		15.00	0.62	3.82	0.83
두산	000150	36950	6,172	3.52	-247.00	0.46	-0.21	13.92
화성산업	002460	10150	1,307	17.05		0.34	2.06	4.76
매일홀딩스	005990	8900	1,220	5.40		0.40	8.01	1.58
DB하이텍	000990	32150	14,097	9.84		2.01	23.41	1.10
아시아나항공	020560	3820	8,561		-1.00	6.73	-63.12	
엔케이물산	009810	677	564			1.36	-7.77	
사조산업	007160	29300	1,468			0.37	-3.13	0.51
현대엘리베이	017800	63000	17,190	35.41		1.84	5.73	1.42
동원개발	013120	3570	3,296	3.89		0.43	11.49	4.68
성안	011300	467	265			0.39	-16.49	
윌비스	008600	1485	955			0.78	-30.75	
대주산업	003310	1255	444	24.61		0.85	3.51	2.39
예스코홀딩스	015360	35050	2,103	12.00		0.27	3.61	4.99
한창	005110	2520	885			3.20	-15.00	
신영증권	001720	45000	4,219	8.44		0.33	6.53	6.12
조흥	002600	151000	909	14.13		0.72	6.15	3.96
성창기업지주	000180	1500	1,046			0.19	-2.14	
고려개발	004200	8460	1,295	4.19		0.86	22.50	
동원산업	006040	244000	8,882	19.12		0.85	11.39	0.83
신라섬유	001000	1700	412	188.33		2.85	1.58	
시공테크	020710	5630	1,115	7.34		1.01	15.13	1.44
한화솔루션	009830	16100	26,458		10.00	0.46	4.48	1.21
벽산	007210	1665	1,148			0.43	-1.18	
풀무원	017810	14750	5,580	176.51	21.00	1.52	7.24	0.70
아진산업	013310	2305	842	5.30		0.40	7.46	
유니크	011320	7170	1,397	32.71		1.38	4.39	0.17
아남전자	008700	1835	1,593			2.71	0.78	
한국화장품제조	003350	39200	1,792			2.98	-3.03	0.25
동국산업	005160	2440	1,340	9.88		0.33	3.58	5.26
SK네트웍스	001740	5110	13,204		10.00	0.59	5.65	2.26
쎌마테라퓨틱스	015540	5680	570			16.18	-724.10	
대림산업	000210	79900	29,232	5.04	4.00	0.53	12.25	1.55
제일파마홀딩스	002620	19700	3,091			0.75	-20.52	0.36
NPC	004250	3680	1,357	9.35		0.54	5.29	2.71
국영지앤엠	006050	2770	958	88.55		1.76	2.08	0.55
일진디스플	020760	2890	831			1.94		
페이퍼코리아	001020	1355	475			3.10	-136.14	
영원무역홀딩스	009970	42900	5,856	4.44		0.37	7.21	2.33
한국알콜	017890	15350	3,316	9.36		0.93	10.23	0.65
한국특수형강	007280	1345	469			0.70	-27.55	
일성건설	013360	1045	578	31.47		0.63	2.05	1.40
유니켐	011330	1515	1,042	6.70		1.18	21.11	
율촌화학	008730	14350	3,571	16.46		1.06	5.37	3.47
하림지주	003380	7540	7,046	12.85		0.33	2.38	0.65
