종목	코드	현재가	시가총액	PER	E_PER	PBR	ROE	배당수익률
대림통상	006570	4065	629			0.69	-11.77	3.39
포비스티앤씨	016670	1445	627			1.03	-3.42	
한성기업	003680	5020	310			0.57		
제일제강	023440	1905	641			1.05	-5.83	
한일화학	007770	9530	335	23.16		0.36	1.80	1.57
SG충방	001380	1285	576			0.43	0.59	
유성기업	002920	2595	673	4.94		0.24	6.47	7.71
흥국화재	000540	2505	1,606	4.24		0.23	5.51	
극동유화	014530	3185	1,119	6.93		0.65	8.75	4.98
삼영전자	005680	7900	1,592	17.23		0.33	1.51	3.14
영화금속	012280	1700	777	131.54		1.02	0.38	
우리들제약	004720	6530	903			1.33	0.53	
신풍제약	019170	20200	10729	450.00		4.81	0.80	
수출포장	002200	18700	754	3.95		0.30	7.51	3.18
대양제지	006580	3005	811	3.45		0.49	19.02	1.33
동남합성	023450	28950	1,040	5.39		1.35	26.23	0.69
대성홀딩스	016710	11200	1,810	13.44		0.43	3.24	2.22
화천기계	010660	3755	814			0.60	-4.93	
참엔지니어링	009310	1335	715			1.17	-33.98	
코리안리	003690	8100	9,738	5.16		0.38	8.04	6.18
코리아써키트	007810	9270	2,218	22.63		0.75	8.34	
KG케미칼	001390	14650	1,893	1.92		0.55	32.69	2.40
한국쉘석유	002960	261500	3,393	14.89		4.04	21.30	6.13
CS홀딩스	000590	50300	584	4.93		0.25	4.35	0.99
고려제약	014570	10550	1,172	30.08		1.78	6.09	0.94
파미셀	005690	23400	14,060	330.28		26.83	8.78	
두올	016740	2720	751	10.16		0.51	7.28	2.88
경동인베스트	012320	26500	630	6.08		0.14	2.26	1.88
써니전자	004770	3375	1,180	169.25		2.07	1.28	
동성제약	002210	13200	3,507			4.53	-13.15	
티에이치엔	019180	2575	476			0.85	33.47	2.27
에스엠코어	007820	8420	1,729	37.69		2.20	5.96	0.81
동구바이오제약	006620	19100	1,767	12.36		2.01	19.14	0.54
CNH	023460	1560	582	3.78		0.54	15.27	1.92
화신	010690	2155	753	11.34		0.24	2.24	2.32
대우부품	009320	2430	1,182			3.23	-6.50	
삼영화학	003720	1405	457			1.05	-4.49	
태원물산	001420	3365	256	73.26		0.79	1.67	2.52
금호산업	002990	6850	2,557	4.93	4.00	0.66	15.55	7.16
동아쏘시오홀딩스	000640	97400	6,022	20.95		0.80	2.67	1.02
태경비케이	014580	3900	1,094	26.79		0.82	3.08	2.52
대원산업	005710	5100	1,030	2.64		0.33	13.32	2.43
현대모비스	012330	186500	184,406	8.59	10.00	0.56	5.76	2.06
현대사료	016790	13000	806	32.43		1.37	5.58	0.76
대륙제관	004780	4160	662	12.34		0.62	5.10	2.40
한일철강	002220	1555	390			0.24	-6.98	
태영건설	009410	15650	11,804	11.45		0.91	17.68	0.97
와이지-원	019210	4895	1,527	113.52		0.48	0.42	2.40
롯데쇼핑	023530	86900	24,866		28.00	0.24	0.85	4.32
대한유화	006650	126000	8,352	45.62	12.00	0.46	3.93	1.95
세아베스틸	001430	9390	3,532	15.68	15.00	0.19	1.24	3.05
서연	007860	3660	845			0.18	-13.31	1.39
평화홀딩스	010770	3285	476			0.39	-11.10	4.61
부광약품	003000	26300	17,085			5.74	2.07	0.72
진양산업	003780	3325	437	6.36		1.07	17.84	5.95
천일고속	000650	58300	832	115.02		1.63	1.28	8.59
성광벤드	014620	6990	2,048	33.15	19.00	0.46	2.50	1.40
넥센	005720	4350	2,318	4.48		0.23	5.96	1.85
효성	004800	67500	14,328	13.82	10.00	0.57	5.75	7.35
한올바이오파마	009420	24800	12,956	65.61	62.00	8.73	13.79	
피에스텍	002230	4350	834	32.87		0.57	1.77	3.54
퍼시스	016800	28650	3,300	10.37		0.62	7.84	3.48
태평양물산	007980	2140	1,058	2,120.00		0.58	7.31	1.41
세아특수강	019440	10800	921	8.40		0.29	3.47	8.37
아이에스동서	010780	28650	9,577	17.16		0.88	11.54	2.26
뉴인텍	012340	1920	587			2.15	-5.33	
대한전선	001440	760	6,518			2.38	-3.99	
삼성공조	006660	6090	501	15.44		0.23	2.21	0.97
혜인	003010	5640	728	15.70		0.62	4.54	1.05
에이스침대	003800	48900	5,368	12.68		1.06	9.41	2.27
다우기술	023590	19750	8,816	21.66		0.64	14.62	2.04
한솔케미칼	014680	101500	11,803	13.65	12.00	2.58	20.71	1.43
SK하이닉스	000660	81400	592,594	38.02	12.00	1.15	9.77	1.23
크라운해태홀딩스	005740	9090	1,353			0.52	-7.49	1.10
고려제강	002240	14050	2,900	29.06		0.21	0.73	2.41
덕성	004830	3570	565	36.05		0.87	0.29	0.56
KC그린홀딩스	009440	3890	881	10.93		0.49	4.61	1.53
웅진	016880	1275	1,008			1.38	-106.55	
하이트론	019490	3020	165			0.42	-69.31	
현대해상	001450	24500	22,037	8.19	7.00	0.44	6.67	3.57
한화에어로스페이스	012450	23050	11,923	9.22	12.00	0.49	4.02	
사조동아원	008040	883	1,253			0.60	0.49	
퍼스텍	010820	2085	977			3.57	-31.41	
서부T&D	006730	6850	3,988	6,860.00		0.58	-0.88	
대한화섬	003830	85900	1,151	4.54		0.18	4.37	0.47
세아제강지주	003030	31850	1,350			0.14	-0.32	4.60
삼보판지	023600	7580	1,248	3.96		0.34	8.37	1.62
영풍	000670	507000	9,394	4.03		0.27	7.40	1.96
사조씨푸드	014710	4045	693			0.34	-2.66	
대림B&Co	005750	4265	716			0.45	1.37	3.03
롯데푸드	002270	372500	4,256	11.34	11.00	0.48	5.47	3.19
더존비즈온	012510	107500	31,453	63.51	59.00	9.09	14.81	0.44
DRB동일	004840	7600	1,531	17.26		0.42	2.54	1.30
경동나비엔	009450	38500	4,911	14.48		1.59	11.66	0.78
카스	016920	1640	372	11.90		0.75	7.11	0.61
일지테크	019540	3015	415			0.34	-3.54	
BYC	001460	211500	1,327	7.02		0.41	6.60	0.52
보령제약	003850	14400	6,542	20.64	23.00	2.17	10.18	0.68
영풍제지	006740	3435	777	7.14		0.51		1.14
S-Oil	010950	68800	79,596		-20.00	1.47	-6.60	0.28
한국캐피탈	023760	516	1,632	4.97		0.57	7.81	4.84
대덕	008060	7340	2,047	9.02		0.48	6.38	4.19
에이프로젠제약	003060	2115	5,087	701.67		2.03	-4.19	
한라	014790	3095	1,232	14.47		0.56	0.97	
신영와코루	005800	91400	821	17.41		0.27	1.23	1.64
LS네트웍스	000680	1910	1,509			0.27	-11.94	
삼일기업공사	002290	2780	350	10.66		0.60	5.69	3.54
청호컴넷	012600	3050	275			0.39	-124.59	
티웨이홀딩스	004870	1300	1,012			0.63	-17.06	
신원종합개발	017000	3185	329	2.44		0.36	16.55	
한창제지	009460	2225	1,354	18.31		1.58	9.05	0.88
SBI인베스트먼트	019550	626	1,026	8.12		1.03	12.85	
미래에셋대우	006800	5760	38,709	7.25	9.00	0.45	5.47	4.42
삼호개발	010960	4680	1,185	5.67		0.59	11.65	4.01
삼부토건	001470	730	1,014	10.84		0.48	3.66	
코오롱글로벌	003070	9490	2,370	4.92	3.00	0.51	14.52	3.72
남양유업	003920	309500	2,239	9.43		0.29	3.25	0.32
대동전자	008110	4170	435	8.50		0.26	2.58	
플레이위드	023770	16300	693	6.88		5.02	81.43	
인지컨트롤스	023800	4000	633			0.33	-4.47	2.39
유수홀딩스	000700	5670	1,474	36.28		0.62	1.83	
풍산홀딩스	005810	27300	2,139	8.91		0.25	3.39	5.13
한국제지	002300	17500	868			0.19	-4.81	1.15
경인양행	012610	7220	2,945	21.43		1.35	6.57	0.69
동일산업	004890	55000	1,344	68.91		0.34	1.06	1.35
광명전기	017040	2045	901	10.72		0.91	8.53	0.72
케이씨피드	025880	1885	315			0.57	-11.61	0.80
KTB투자증권	030210	2400	1,472	3.44		0.30	9.18	6.15
현대차증권	001500	8500	2,538	3.73		0.34	7.93	6.94
리더스 기술투자	019570	531	412	12.64		1.16	-18.80	
성보화학	003080	4210	851			0.58	-1.91	3.18
진원생명과학	011000	10300	3,345			7.94	-28.50	
SK	034730	246500	178,363	258.94	18.00	0.78	5.76	1.97
동일기연	032960	10300	346	14.04		0.62	5.30	0.38
현대건설	000720	32400	37,527	8.63	8.00	0.56	7.11	1.78
동일철강	023790	2940	239	6.17		0.38	7.33	
인팩	023810	3090	318			0.34	-6.29	3.77
SFA반도체	036540	5830	9,522	39.93		2.79	14.11	
	030270							
바이오스마트	038460	4725	945	4.26		0.90	23.82	1.34
인프라웨어	041020	1200	461			1.65	-20.96	
엠로	058970		178					
크로바하이텍	043590	1490	347			2.15	-37.34	
대우건설	047040	3495	14,962	6.99	5.00	0.58	11.35	
한국주강	025890	1450	168			0.52	-35.06	
KMH하이텍	052900	1285	598	26.56		0.92	3.45	
대한뉴팜	054670	10600	1,507	9.61		3.01	29.27	
해성산업	034810	11150	1,076	37.04		0.78	1.65	1.59
인텍플러스	064290	10650	1,327	24.31		5.89	37.04	
한국아트라스비엑스	023890	46550	4,209	7.92		0.48	15.60	0.87
체리부로	066360	2495	698			0.78	-21.23	
바이온	032980	1200	655			1.85	-52.99	
영풍정밀	036560	6710	1,066	8.47		0.37	4.42	4.43
드래곤플라이	030350	2160	369			2.98		
삼표시멘트	038500	3665	4,090	22.02		0.64	4.86	1.31
캠시스	050110	3060	2,127	101.77		2.00	2.10	
넥슨지티	041140	8370	2,982	101.57		2.69	2.78	
미코	059090	9250	3,019	36.52		3.13	8.96	0.41
지니뮤직	043610	2700	1,549	21.15		1.01	4.91	
포스코인터내셔널	047050	14450	17,951	8.52	7.00	0.59	8.08	4.81
동화기업	025900	24550	5,302	19.15	29.00	0.87	3.39	0.57
바이넥스	053030	12850	4,110	47.09		2.49	6.42	
한국토지신탁	034830	1860	4,734	4.38	4.00	0.51	11.35	4.27
현대로템	064350	16100	13,898		86.00	1.29	1.82	
키이스트	054780	14050	2,381			5.01	-17.44	
엔씨소프트	036570	812000	176,730	36.86	22.00	6.40	28.96	0.65
한글과컴퓨터	030520	12700	3,128	15.65		1.26	12.00	
풍국주정	023900	23150	2,923	38.67		2.19	5.95	0.69
버킷스튜디오	066410	1780	571			1.35	-10.47	
제이엠아이	033050	1430	468			1.29	-20.42	
골드퍼시픽	038530	2270	813			3.64	-151.91	
라이브플렉스	050120	883	717			1.26	-21.76	
우리기술투자	041190	2870	2,390	22.40		2.87	15.11	
아이컴포넌트	059100	4845	343	76.90		1.13	-4.25	
국순당	043650	4140	751			0.35	-2.47	2.38
한빛소프트	047080	2945	722	30.05		4.84	17.52	
동신건설	025950	5480	459	62.76		0.53	0.96	
지에스이	053050	1415	423	9.86		0.57	6.34	2.84
조아제약	034940	5740	1,707			3.16	-1.69	
브리지텍	064480	3700	402			1.23	-8.77	2.97
대한약품	023910	30700	1,845	6.55		1.11	18.34	1.30
아이디스홀딩스	054800	13750	1,407			0.60	-5.18	1.47
와이오엠	066430	1800	267			1.71	-250.67	
원익홀딩스	030530	4725	3,599	10.86		0.45	4.42	
팜스코	036580	7400	2,707			0.95	-2.77	0.68
제룡전기	033100	5670	924	15.58		1.65	10.40	0.87
상상인	038540	7750	4,432	3.55		0.83	26.51	2.50
에이앤티앤	050320	1385	439			10.91	-47.91	
에버다임	041440	3645	650	55.85		0.34	0.61	1.10
아진엑스텍	059120	7380	511	18.63		1.12	5.71	1.36
파워로직스	047310	7690	2,757	8.93		1.20	12.54	0.62
서울리거	043710	1310	445			0.76	-14.44	
아난티	025980	10100	8,697			2.30	-2.02	
세동	053060	635	136			0.87	-11.04	
한국기업평가	034950	78200	3,573	17.56		3.28	20.96	10.95
에코마이스터	064510	2940	414			1.89	-59.81	
에쓰씨엔지니어링	023960	1355	340			1.38	-1.45	
한컴위드	054920	3325	928	1.73		0.75	36.53	
LG전자	066570	56100	93,770	21.32	8.00	0.68	8.39	1.31
교보증권	030610	6880	2,516	3.01		0.25	9.06	5.72
코너스톤네트웍스	033110	204	265			0.71	-162.33	
위즈코프	038620	1090	423	1,090.00		0.96	0.13	
버추얼텍	036620	761	429			2.86	-44.39	
한국전자인증	041460	7920	1,742	104.10		3.92	4.42	0.57
한국코퍼레이션	050540	282	109			0.29	-25.48	
메타바이오메드	059210	2590	622	19.01		1.14	6.48	0.38
유니온머티리얼	047400	3390	1,485	64.27		1.73	2.83	1.41
자연과환경	043910	1700	906			2.04	-3.23	
제이에스티나	026040	2500	419			0.89	-57.29	
소리바다	053110	507	479			1.19	-53.13	
지투알	035000	5450	905	5.93		0.62	11.17	5.49
바른전자	064520	1210	620			1.62	-41.43	
흥구석유	024060	7760	1,167	14.02		1.50	11.25	1.93
유신	054930	16500	506			0.62	-7.30	
우수AMS	066590	4215	1,062	390.91		1.76	0.47	
동원수산	030720	9150	427	7.04		0.84	12.71	
디지틀조선	033130	1935	716	20.98		0.93	4.54	1.55
세종텔레콤	036630	327	1,969	82.00		0.59	0.79	
에스넷	038680	7140	1,146	18.91		1.46	8.58	1.68
에스폴리텍	050760	4600	911	8.48		1.57	21.06	0.90
인선이엔티	060150	8960	3,482	13.42		1.62	13.85	
에스엠	041510	27000	6,355		37.00	1.43	3.84	
이스트소프트	047560	6740	682			1.68	-36.66	
특수건설	026150	7400	1,188	146.15		1.34	0.91	
조광ILI	044060	6400	643	18.11		1.13	6.40	
프리엠스	053160	6700	397			0.76	1.19	0.75
인터파크홀딩스	035080	1920	1,112			0.34	-1.60	3.68
바이오니아	064550	12800	2,876			9.34	-22.49	
WISCOM	024070	2090	324	31.57		0.27	0.92	2.36
엑사이엔씨	054940	1345	458			0.88	-0.70	
국보디자인	066620	15800	1,170	7.34		0.90	13.75	1.92
에코바이오	038870	7150	832	9.16		1.28	12.12	
엠케이전자	033160	7660	1,727	24.44		0.54	2.34	0.50
아세아텍	050860	3070	545			0.53	0.50	1.61
비케이탑스	030790	6910	816			1.16	-65.09	
이그잭스	060230	1930	1,445			2.51	-2.29	
이라이콤	041520	4395	528			0.26	-0.28	2.31
HRS	036640	3460	582	18.84		0.78	1.36	
코데즈컴바인	047770	1895	717	10.77		1.69	17.88	
스카이라이프	053210	9000	4,314	7.36	8.00	0.61	7.39	3.88
KD	044180	495	388			1.14	-9.88	
백산	035150	5970	1,452	14.18		0.94	20.08	1.67
디피씨	026890	10700	4,460	28.84		2.51	7.12	0.75
티씨케이	064760	87700	10297	21.27	17.00	4.58	24.97	1.02
디씨엠	024090	10650	1,246	6.28		0.57	14.18	4.70
디스플레이텍	066670	3770	705	13.04		0.42	3.61	2.65
제이브이엠	054950	37400	2,460	42.41		1.83	10.83	1.03
아이에이	038880	502	1,241	73.43		2.18	3.34	
쏠리드	050890	5320	2,802	47.95		2.27	12.68	
시그네틱스	033170	836	712			0.51	-13.91	
양지사	030960	9270	1,470	1.20		0.68	3.44	0.54
젬백스지오	041590	891	652			0.75	-68.98	
룽투코리아	060240	4665	1,179	69.18		1.60	2.34	
한국항공우주	047810	23850	23,589	11.38	13.00	1.99	15.36	1.65
KCI	036670	9990	1,127	9.87		1.65	18.92	2.00
금강철강	053260	3100	635	14.43		0.51	4.00	2.95
프럼파스트	035200	3265	317	26.72		0.85	3.34	
위닉스	044340	21100	3,798	9.38		2.27	29.85	2.35
광진실업	026910	2915	189			0.69	-3.42	
젬백스링크	064800	1215	938	23.37		0.66	2.76	0.82
기업은행	024110	7620	51,398	3.23	4.00	0.23	6.11	8.66
테라젠이텍스	066700	12050	3,812	8.44		2.68	40.27	
테이팩스	055490	19100	913	10.68		0.89	7.87	
수산아이앤티	050960	6000	405	13.95		0.53	3.90	1.25
파인디지털	038950	4400	476			0.48	-0.14	1.07
아이즈비전	031310	4215	659			0.70	-1.11	
필룩스	033180	4815	4,354			1.44	-5.29	
NHN한국사이버결제	060250	54000	12,611	51.36	39.00	9.36	23.06	0.42
구영테크	053270	1500	396	10.27		0.50	4.80	2.00
상신브레이크	041650	2610	567			0.32	2.40	3.79
강원랜드	035250	24950	53,378	70.08	70.00	1.50	2.07	3.61
초록뱀	047820	1745	1,495	23.38		1.89	8.35	
코맥스	036690	3680	551	14.36		0.78	5.68	1.32
주연테크	044380	1370	737			1.70	-11.11	
부국철강	026940	4020	977	53.10		0.87	1.64	1.53
케이프	064820	2960	846	11.35		0.51	4.49	
신한지주	055550	29200	143,282	4.24	5.00	0.36	7.67	6.23
씨씨에스	066790	423	389			1.43	-0.66	
KB오토시스	024120	6390	729	6.82		0.71	10.84	3.63
지어소프트	051160	12400	1,785			18.65	68.95	
현대통신	039010	6890	599	5.61		0.72	13.60	4.32
제노텍	066830		95					
에프앤가이드	064850		441					
에스에이엠티	031330	2095	2,180	5.80		0.91	16.62	6.42
뉴보텍	060260	1385	468	21.54		1.68	7.78	
모아텍	033200	5160	739			0.64	1.13	
인바디	041830	19600	2,661	13.03		1.85	4.85	0.72
예스24	053280	5390	925			1.45	0.01	3.72
KSS해운	044450	8000	1,855	7.99		0.64	8.23	3.38
메디포럼제약	047920	6320	886	185.59		4.88	2.71	
심텍홀딩스	036710	1705	654			0.53	-12.11	0.58
더블유에프엠	035290	11750	302			26.05	-264.62	
동서	026960	17100	17,148	12.61		1.30	10.53	4.07
네스엠	056000	3160	437			2.51	-17.92	
한국콜마홀딩스	024720	22100	4,216	10.27		1.00	10.51	0.83
토비스	051360	7080	1,195	5.42		0.56	11.88	3.36
이건홀딩스	039020	2275	526	13.02		0.34	2.80	3.00
디에이피	066900	2795	646	25.82		0.49	0.98	
S&T모티브	064960	39450	5,886	6.91	8.00	0.75	9.78	3.48
녹십자셀	031390	41250	4,978	44.67		5.86	14.52	0.24
NAVER	035420	241000	395,875	62.23	41.00	5.28	15.44	0.16
큐렉소	060280	5790	2,075			4.80	-45.47	
인성정보	033230	5040	980			2.40	-1.01	
에스텍파마	041910	10700	1,249	8.20		1.19	15.87	0.95
나이스정보통신	036800	31200	3,110	11.20		1.26	12.32	1.48
오스템임플란트	048260	32300	4,664		18.00	5.86	24.50	
NE능률	053290	3340	527	281.25		0.83	1.26	
서울전자통신	027040	873	609	14.83		0.65	6.35	
경남바이오파마	044480	4755	632			1.35	-1.00	
유진로봇	056080	2470	970			1.87	-29.14	
한일단조	024740	1565	469	54.14		0.43	2.94	
인터플렉스	051370	10700	2,508			1.15	-0.21	
이오테크닉스	039030	92000	11,309	93.39		2.90	11.48	0.16
손오공	066910	1860	507			2.07	-8.59	
지엔코	065060	1390	1,377			1.51	-22.71	
신세계인터내셔날	031430	199500	14,137	19.11	20.00	2.37	11.16	0.56
메디아나	041920	21250	1,834	27.18		3.19	29.80	
한국정보인증	053300	7170	2,521	35.33		2.96	8.65	1.24
에프에스티	036810	13750	2,732	14.95		2.18	17.52	0.59
레드로버	060300	610	352			5.87	-182.83	
기산텔레콤	035460	2755	395	6.84		1.22	10.87	
코리아나	027050	4960	2,000	333.33		1.98	0.76	
현대바이오	048410	10500	3,789	479.55		7.78	1.75	
자화전자	033240	7240	1,323			0.47	-0.10	
태웅	044490	6550	1,358			0.24	-5.77	
유성티엔에스	024800	2280	622	2.93		0.28	11.61	0.66
유앤아이	056090	4845	377			0.98	-4.90	
피씨디렉트	051380	8180	639	17.46		1.77	10.89	1.20
하나투어	039130	40100	5,827		-10.00	2.56	-32.53	2.39
엘앤에프	066970	25700	6,326		93.00	4.08	5.08	0.20
신세계푸드	031440	66000	2,598		24.00	0.84	3.38	1.12
탑엔지니어링	065130	8950	1,497	4.15		0.70	18.76	1.07
동아화성	041930	5360	878	8.77		0.76	9.72	0.90
에이치케이	044780	1205	225	27.00		0.46	1.71	
솔브레인	036830	86500	15,171	12.94	10.00	1.77	17.39	0.98
유라테크	048430	6870	793	34.23		0.73	2.15	1.45
이니텍	053350	5140	1,003			0.85	-7.31	0.39
체시스	033250	2330	565			2.09	-13.41	
아주IB투자	027360	1330	1,573	9.67		0.93	10.07	2.64
3S	060310	2775	1,243	46.25		3.53	4.33	
신세계 I&C	035510	116000	2,047	13.26		0.98	5.44	1.68
에스에프에이	056190	36000	13,214	10.01	8.00	1.41	17.25	2.87
YW	051390	3835	436	22.07		0.49	2.79	1.30
이화전기	024810	170	1,228			0.59	0.04	
	027390							
오스코텍	039200	22800	6,687			15.21	-45.98	
브레인콘텐츠	066980	734	1,161	146.60		1.11	0.84	
MP그룹	065150	1315	1,063	131.50		4.94	4.21	
오스템	031510	1770	471			0.41	-11.97	1.11
대동스틸	048470	5430	627	88.31		1.05	0.51	0.48
유나이티드제약	033270	19200	3,084	9.25		1.08	9.32	1.74
진성티이씨	036890	6070	1,371	6.23		0.87	16.91	3.28
코스맥스비티아이	044820	16000	1,585	392.86		0.54	0.14	1.51
세코닉스	053450	5440	646			0.58	0.04	0.91
KG이니시스	035600	25850	7,171	14.34		2.74	22.55	1.28
코미팜	041960	19050	12,163			16.10	-25.64	
KT서브마린	060370	4280	949	197.05		0.87	0.47	0.69
코위버	056360	10300	1,024	5.08		0.84	18.91	1.91
나라엠앤디	051490	4750	709	65.66		0.87	1.37	1.20
세원물산	024830	6280	524	3.99		0.28	7.20	0.40
BGF	027410	4610	4,427	16.46		0.29	1.26	2.38
에이아이비트	039230	181	189			0.37	-28.25	
조이시티	067000	13300	1,900			5.71	43.16	
넥스트BT	065170	2265	1,494			3.17	-22.43	
콤텍시스템	031820	1430	974	287.00		1.06	1.22	
인트론바이오	048530	14000	4,262			6.97	-6.13	
코웰패션	033290	5900	5,239	10.42		2.13	24.11	1.69
주성엔지니어링	036930	5830	2,798	10.86		1.15	11.50	1.21
웹케시	053580	61100	4,065	57.08	36.00	7.33	18.88	0.33
이글벳	044960	7230	910	74.23		2.49	3.52	0.28
카페24	042000	61800	6,092	90.99	88.00	5.22	5.76	
솔본	035610	3910	1,058			0.75	1.27	
동양에스텍	060380	2665	280	14.36		0.53	3.81	3.57
경남스틸	039240	1595	440	9.46		0.50	5.40	5.11
KBI메탈	024840	1300	435	6.50		0.49	7.58	
CJ프레시웨이	051500	20050	2,392	46.43	-221.00	1.19	-0.55	1.24
신화인터텍	056700	2535	743	7.85		0.77	10.31	1.96
상보	027580	1055	485			1.55	-42.03	
이씨에스	067010	3850	473	17.17		1.12	4.33	2.60
신성델타테크	065350	2930	730	11.98		0.55	4.79	2.65
에이치엔에스하이텍	044990		285					
엔에스엔	031860	2515	853			2.57	-29.57	
디케이디앤아이	033310	3300	724	17.43		1.23	7.75	
SM C&C	048550	1565	1,472	40.13		1.25	3.24	
파워넷	037030	5350	700	11.71		1.18	10.78	
한국테크놀로지	053590	1235	1,036			3.59		
한전KPS	051600	31050	14,152	8.81	9.00	1.40	13.67	6.11
인포뱅크	039290	7300	642	76.08		1.19	1.59	0.14
케이피엠테크	042040	708	739			0.69	-28.53	
국일신동	060480	3660	412			0.88	-0.23	1.35
바른손이앤에이	035620	2320	1,679			2.10	-22.31	
피에스엠씨	024850	772	313	55.93		1.56	-4.47	
팜스토리	027710	1130	1,248			0.76	-3.30	2.23
포스링크	056730	1460	674			8.02	-113.04	
대화제약	067080	11050	1,996	18.53		2.39	13.49	1.37
위세아이텍	065370	13800	592	17.60		2.73	27.29	0.36
오공	045060	6000	1,006	13.03		1.25	9.79	0.84
피에스케이홀딩스	031980	8120	1,731	8.80		0.48	4.66	1.87
제이씨현시스템	033320	4605	877	124.05		1.01	0.83	
TPC	048770	3340	453			1.66	-14.31	0.45
파세코	037070	17550	2,408	27.88		3.17	11.86	1.45
프로텍	053610	14450	1,584	4.11		0.72	19.94	2.78
카카오	035720	268000	234,217		74.00	4.10	5.89	0.05
YBM넷	057030	8370	1,411	79.36		3.32	4.24	
에스씨디	042110	1325	633			0.63	-0.98	1.14
에스에이티	060540	1860	495	5.34		0.59	11.50	2.64
진양화학	051630	2950	359			1.33	-7.56	
세중	039310	2750	502	23.08		0.61	2.73	
케이피에프	024880	3745	667	8.54		0.39	4.91	4.18
아프리카TV	067160	60000	7,322	21.30	22.00	5.86	24.70	0.86
마니커	027740	932	1,482			2.04	-18.14	
에스아이리소스	065420	639	413			3.59	-68.50	
한양이엔지	045100	10950	2,025	5.73		0.58	9.34	4.00
아즈텍WB	032080	1690	363	7.48		0.37	5.12	
좋은사람들	033340	2250	1,130			1.14	-12.65	
엔피케이	048830	1485	278			0.69	-2.05	2.02
한국팩키지	037230	2525	624	34.65		1.57	4.38	1.40
태양	053620	8850	762	7.52		0.44	4.75	1.69
CJ ENM	035760	118300	25,942	29.27	18.00	0.79	4.81	1.18
현대홈쇼핑	057050	67100	8,184	9.52	6.00	0.46	7.60	2.93
한국경제TV	039340	4860	1,112	8.07		0.88	13.01	1.86
홈센타홀딩스	060560	1145	979			1.22	-2.44	
비츠로테크	042370	6540	1,460	8.75		0.94	11.37	0.77
큐로홀딩스	051780	830	655			2.97	-34.12	
대원화성	024890	1850	722	16.83		0.91	5.56	0.57
오텍	067170	12600	1,909	17.87		1.26	7.58	1.05
대성창투	027830	1920	768			1.54	-0.35	
이루온	065440	1600	430	45.00		1.23	1.58	
다우데이타	032190	14450	5,515	8.08		0.91	13.08	1.25
성우테크론	045300	3645	342	7.56		0.65	9.37	1.08
디에스티	033430	370	238			7.55	-323.28	
시너지이노베이션	048870	1985	1,262	35.83		1.68	5.20	
현진소재	053660	400	213				-282.53	
YG PLUS	037270	1745	1,006			1.11	-3.48	
이지바이오	035810	4260	2,468	112.11		0.72	0.57	1.17
SKC 솔믹스	057500	3300	2,048	555.00		2.13	0.42	
네오위즈홀딩스	042420	16000	1,422	6.84		0.40	6.57	0.77
케이엘넷	039420	2495	604	16.23		1.53	10.41	2.40
LG생활건강	051900	1400000	219,279	31.68	30.00	5.53	18.61	0.78
드림어스컴퍼니	060570	5390	3,031			2.57	-34.56	
덕양산업	024900	1000	326			0.69	-26.33	
멀티캠퍼스	067280	33000	1,959	12.36		1.80	18.19	1.82
세하	027970	2160	633	4.32		1.50	34.66	
토탈소프트	045340	3030	259	7.88		2.13	25.64	
빅텍	065450	3595	1,001	80.22		2.33	5.22	
삼일	032280	1910	310	9.39		0.46	5.18	2.61
동성화인텍	033500	8890	2,442	14.48	9.00	2.54	23.71	2.43
대원미디어	048910	6580	824	75.29		1.01	1.38	
한미글로벌	053690	8190	905	4.05		0.70	20.64	2.42
인지디스플레	037330	1705	757	15.54		0.45	2.70	4.35
서희건설	035890	1185	2,475	3.35		0.61	18.62	2.51
옴니시스템	057540	2290	921	4.89		0.97	22.13	
LG화학	051910	389500	288,370	228.47	47.00	1.84	3.92	0.49
에스티아이	039440	17950	2,873	13.73		1.65	14.96	1.38
링네트	042500	5230	791	14.73		1.08	12.73	
JW신약	067290	5390	2,200	150.86		3.32	2.90	1.14
경창산업	024910	808	288			0.37	-65.12	
씨티씨바이오	060590	8260	1,574			2.10	-17.00	
대아티아이	045390	5870	4,241	192.26		4.49	2.32	0.34
롯데관광개발	032350	13800	9,456			3.14	-4.76	
오리엔트정공	065500	312	366			0.73	-7.55	
미래SCI	028040	279	125			0.74	-102.20	
인탑스	049070	10650	1,815	5.09		0.42	6.21	2.37
세종공업	033530	5060	1,159	223.48		0.30	1.52	0.97
성도이엔지	037350	3485	546			0.37	-37.95	1.42
삼보모터스	053700	4200	722			0.34	-7.41	
JYP Ent.	035900	23100	8,182	22.60	24.00	4.59	19.35	0.67
옴니텔	057680	1680	699	32.55		1.93	5.55	
센트럴바이오	051980	658	310			1.25	-41.23	
키움증권	039490	85400	18,807	5.96	8.00	0.95	11.31	2.35
라온시큐어	042510	4470	1,430	68.11		6.59	10.15	
KH바텍	060720	22250	5,161		19.00	2.64	13.63	
케이엠더블유	032500	59000	23,693	24.77	15.00	10.13	52.56	
PN풍년	024940	2115	209	3.75		0.50	15.19	1.20
하나마이크론	067310	5410	1,716			1.06	-1.70	0.88
정원엔시스	045510	2060	651	80.80		1.67	2.08	
삼성엔지니어링	028050	11150	22,344	8.51	8.00	1.58	19.17	
휴비츠	065510	7740	922	11.70		1.00	9.16	1.93
