종목명	현재가	전일비	등락률	액면가	시가총액	배당금	PER	ROE	PBR	유보율	배당율
HMM	4,835	110	+2.33%	5,000	15,305	N/A	-3.22	-55.46	1.49	-180.1	
한화	20,400	300	+1.49%	5,000	15,292	700	16.99	2.09	0.43	834.8	0.03431372549019608
F&F	98,800	700	-0.70%	500	15,215	1,000	13.87	25.13	3.15	6,263.1	0.010121457489878543
현대백화점	64,200	200	+0.31%	5,000	15,024	1,000	9.64	4.64	0.34	3,641.1	0.01557632398753894
LG생활건강우	708,000	7,000	-0.98%	5,000	14,866	N/A	15.98	N/A	2.79	N/A	
효성	68,700	1,400	+2.08%	5,000	14,476	5,000	13.96	4.25	0.57	6,917.6	0.07278020378457059
영원무역	32,550	1,900	+6.20%	500	14,423	400	8.10	9.82	0.77	6,954.2	0.01228878648233487
한올바이오파마	27,400	550	+2.05%	500	14,314	N/A	72.49	14.90	9.64	418.2	
메리츠금융지주	10,200	150	+1.49%	500	14,303	550	3.59	15.26	0.50	8,309.8	0.05392156862745098
한전KPS	31,600	750	+2.43%	200	14,220	1,920	8.85	14.98	1.40	11,723.4	0.060759493670886074
KODEX WTI원유선물(H)	5,725	345	+6.41%	0	14,145	N/A	N/A	N/A	N/A	N/A	
파미셀	23,550	550	-2.28%	500	14,120	N/A	331.69	8.78	26.95	72.2	
현대차우	57,600	1,300	+2.31%	5,000	14,029	N/A	6.10	N/A	0.22	N/A	
LS ELECTRIC	46,750	1,200	+2.63%	5,000	14,025	1,200	14.15	7.82	1.01	831.7	0.025668449197860963
신세계인터내셔날	195,000	0	0.00%	5,000	13,923	1,100	24.94	12.98	2.34	1,577.3	0.0056410256410256415
현대미포조선	34,600	600	+1.76%	5,000	13,820	350	18.52	2.31	0.59	964.4	0.010115606936416185
LG화학우	178,500	1,500	+0.85%	5,000	13,724	N/A	99.83	N/A	0.80	N/A	
DB하이텍	30,650	2,050	+7.17%	5,000	13,608	350	9.50	17.40	1.94	226.3	0.011419249592169658
현대로템	16,000	250	+1.59%	5,000	13,600	N/A	-3.71	-37.93	1.26	59.3	
KODEX 종합채권(AA-이상)액티브	110,490	55	-0.05%	0	13,363	N/A	N/A	N/A	N/A	N/A	
HDC현대산업개발	20,100	150	+0.75%	5,000	13,247	438	2.36	20.30	0.50	916.9	0.021791044776119404
한화생명	1,520	5	-0.33%	5,000	13,202	30	13.10	0.51	0.09	243.5	0.019736842105263157
KBSTAR 200	27,315	400	+1.49%	0	13,166	N/A	N/A	N/A	N/A	N/A	
SK네트웍스	5,280	90	+1.73%	2,500	13,104	120	-10.04	-5.85	0.58	249.5	0.022727272727272728
두산솔루스	42,750	1,400	+3.39%	100	13,077	N/A	94.79	N/A	11.06	3,323.6	
KCC	144,000	500	+0.35%	5,000	12,797	5,500	-2.90	-4.37	0.28	9,923.4	0.03819444444444445
만도	26,950	300	+1.13%	1,000	12,655	550	12.41	7.55	0.82	2,888.5	0.02040816326530612
태영건설	16,450	950	+6.13%	500	12,568	150	12.19	8.38	0.97	2,866.9	0.00911854103343465
LS	38,600	1,200	+3.21%	5,000	12,429	1,450	-29.53	0.80	0.34	1,934.4	0.03756476683937824
한화에어로스페이스	24,500	200	+0.82%	5,000	12,404	0	9.76	5.45	0.49	710.7	0.0
더블유게임즈	66,500	500	-0.75%	500	12,147	350	10.52	18.93	1.57	7,201.9	0.005263157894736842
대웅제약	103,000	500	+0.49%	2,500	11,934	600	70.94	4.34	2.05	1,871.5	0.005825242718446602
지누스	82,300	1,700	-2.02%	500	11,857	1,250	14.68	26.32	2.84	5,223.5	0.015188335358444714
KODEX 코스닥150 레버리지	9,790	805	+8.96%	0	11,768	N/A	N/A	N/A	N/A	N/A	
두산인프라코어	5,500	300	+5.77%	5,000	11,449	N/A	5.61	11.59	0.48	135.7	
한솔케미칼	101,000	3,500	+3.59%	5,000	11,408	1,500	11.59	20.88	2.41	712.5	0.01485148514851485
신풍제약	21,300	400	-1.84%	500	11,286	N/A	473.33	0.80	5.06	742.1	
두산중공업	4,420	140	+3.27%	5,000	11,189	N/A	-1.14	-14.73	0.48	73.3	
SK케미칼	91,100	800	-0.87%	5,000	10,696	450	39.13	1.51	1.66	1,003.2	0.004939626783754116
KODEX 인버스	6,395	115	-1.77%	0	10,577	N/A	N/A	N/A	N/A	N/A	
종근당	96,900	2,500	+2.65%	2,500	10,548	857	17.32	11.94	2.18	1,766.6	0.008844169246646027
이노션	52,000	300	+0.58%	500	10,400	1,500	13.75	9.88	1.39	7,879.5	0.028846153846153848
KODEX 200TR	8,720	110	+1.28%	0	10,372	N/A	N/A	N/A	N/A	N/A	
녹십자홀딩스	22,050	650	+3.04%	500	10,370	325	-490.00	0.37	1.26	3,024.6	0.01473922902494331
현대위아	38,000	600	+1.60%	5,000	10,334	700	8.76	1.80	0.32	2,243.1	0.018421052631578946
KODEX 삼성그룹	6,880	80	+1.18%	0	10,189	N/A	N/A	N/A	N/A	N/A	
롯데리츠	5,870	30	-0.51%	500	10,095	96	N/A	1.64	N/A	902.8	0.016354344122657582
영진약품	5,460	190	+3.61%	500	9,986	N/A	195.00	4.43	8.49	26.6	
아이에스동서	32,300	1,500	+4.87%	500	9,978	700	17.87	6.10	0.92	6,959.6	0.021671826625386997
대웅	17,150	100	-0.58%	500	9,971	100	15.97	10.43	1.18	2,247.6	0.0058309037900874635
한국콜마	43,300	0	0.00%	500	9,908	330	36.08	6.39	2.07	4,022.6	0.007621247113163972
HANARO 200	27,310	400	+1.49%	0	9,832	N/A	N/A	N/A	N/A	N/A	
롯데정밀화학	38,000	150	+0.40%	5,000	9,804	1,700	5.75	11.73	0.65	1,080.7	0.04473684210526316
한화시스템	8,870	50	+0.57%	5,000	9,777	310	12.56	8.15	1.03	76.0	0.03494926719278467
TRUE 코스피 양매도 5% OTM ETN	9,830	115	-1.16%	0	9,722	N/A	N/A	N/A	N/A	N/A	
한국테크놀로지그룹	10,350	250	+2.48%	500	9,628	350	6.36	4.71	0.29	7,096.9	0.033816425120772944
JB금융지주	4,880	130	+2.74%	5,000	9,613	300	2.81	10.36	0.27	289.4	0.06147540983606557
삼양식품	127,000	8,500	+7.17%	5,000	9,567	800	13.57	23.15	3.20	645.9	0.006299212598425197
롯데관광개발	13,700	0	0.00%	500	9,491	N/A	-67.16	-4.77	3.15	764.3	
영풍	514,000	4,000	+0.78%	5,000	9,468	10,000	3.83	7.40	0.27	35,443.8	0.019455252918287938
현대오토에버	45,000	100	+0.22%	500	9,450	710	16.97	11.71	1.87	4,783.7	0.01577777777777778
OCI	39,400	0	0.00%	5,000	9,397	N/A	-1.16	-26.20	0.36	1,956.5	
일양약품	48,850	850	+1.77%	2,500	9,323	120	112.30	5.20	4.59	203.7	0.0024564994882292734
코리안리	7,720	330	+4.47%	500	9,292	500	4.92	8.04	0.36	4,042.5	0.06476683937823834
GKL	14,950	50	+0.34%	500	9,247	659	11.80	12.62	1.63	1,792.1	0.04408026755852843
코오롱인더	34,150	950	+2.86%	5,000	9,213	900	5.86	1.58	0.48	1,341.6	0.02635431918008785
DGB금융지주	5,400	140	+2.66%	5,000	9,134	410	2.79	7.31	0.20	541.9	0.07592592592592592
쿠쿠홈시스	40,000	450	-1.11%	100	8,975	560	13.84	16.10	2.07	19,334.9	0.014
코스맥스	89,200	800	+0.90%	500	8,964	900	32.45	10.45	2.58	6,836.9	0.010089686098654708
아시아나항공	4,005	40	-0.99%	5,000	8,941	N/A	-0.66	-90.67	7.02	-26.4	
화승엔터프라이즈	14,750	250	-1.67%	500	8,929	45	17.86	19.87	1.80	1,050.7	0.0030508474576271187
오리온홀딩스	14,200	150	+1.07%	500	8,896	650	15.27	2.55	0.44	5,921.8	0.045774647887323945
대상	25,450	350	+1.39%	1,000	8,818	600	6.69	11.17	0.89	2,845.8	0.023575638506876228
금호타이어	3,005	60	+2.04%	5,000	8,632	N/A	-9.54	-3.30	0.70	-10.4	
대한유화	130,500	500	+0.38%	5,000	8,482	2,500	46.33	6.11	0.47	4,252.3	0.019157088122605363
두산퓨얼셀	15,150	200	+1.34%	100	8,407	N/A	23.09	N/A	6.53	2,215.2	
롯데칠성	105,000	1,500	+1.45%	500	8,393	2,700	-6.23	-11.68	0.73	43,586.8	0.025714285714285714
다우기술	18,650	350	+1.91%	500	8,368	400	6.49	14.62	0.62	5,947.4	0.021447721179624665
태광산업	749,000	9,000	+1.22%	5,000	8,339	1,550	4.72	4.34	0.20	58,834.9	0.0020694259012016022
NICE	21,850	50	+0.23%	500	8,277	230	28.34	4.39	1.21	3,525.3	0.010526315789473684
동원산업	224,000	2,000	-0.88%	5,000	8,238	2,000	17.73	4.45	0.79	5,781.6	0.008928571428571428
현대그린푸드	8,390	90	+1.08%	500	8,197	210	14.96	3.20	0.43	3,276.5	0.025029797377830752
KODEX 단기채권PLUS	102,540	15	+0.01%	0	8,192	N/A	N/A	N/A	N/A	N/A	
현대홈쇼핑	67,000	0	0.00%	5,000	8,040	2,000	9.35	5.03	0.45	2,869.1	0.029850746268656716
롯데제과	125,000	4,000	+3.31%	500	8,021	1,300	21.07	3.19	0.66	37,856.3	0.0104
동원F&B	201,500	5,500	+2.81%	5,000	7,776	3,000	12.05	10.00	1.12	3,580.9	0.01488833746898263
한섬	31,150	900	+2.98%	500	7,672	450	9.00	8.37	0.65	8,696.6	0.014446227929373997
LIG넥스원	34,400	1,450	-4.04%	5,000	7,568	600	28.38	N/A	1.17	410.4	0.01744186046511628
후성	8,130	140	+1.75%	500	7,529	15	406.50	3.85	3.55	352.5	0.0018450184501845018
JW중외제약	35,700	1,050	+3.03%	2,500	7,468	316	-34.03	-10.31	3.58	344.1	0.008851540616246498
동아에스티	88,300	1,500	+1.73%	5,000	7,456	1,000	7.67	11.58	1.07	1,065.4	0.011325028312570781
씨에스윈드	42,200	400	+0.96%	500	7,295	460	22.12	9.92	1.85	4,395.4	0.010900473933649289
SK가스	78,700	2,500	+3.28%	5,000	7,264	3,021	2.79	9.85	0.41	3,606.8	0.03838627700127065
보령제약	15,150	400	+2.71%	500	7,214	100	21.13	11.96	2.22	1,249.5	0.006600660066006601
아주캐피탈	12,500	200	+1.63%	5,000	7,193	650	7.08	12.97	0.87	187.0	0.052
TIGER TOP10	8,795	215	+2.51%	0	7,036	N/A	N/A	N/A	N/A	N/A	
휴켐스	17,050	150	+0.89%	1,000	6,970	1,000	9.91	10.82	1.00	1,634.8	0.05865102639296188
남선알미늄	6,320	20	-0.32%	500	6,963	0	42.13	8.33	3.78	229.9	0.0
락앤락	12,700	500	+4.10%	500	6,882	N/A	55.70	2.44	0.98	2,549.8	
애경산업	25,350	350	+1.40%	1,000	6,695	450	20.64	12.86	2.01	1,181.9	0.01775147928994083
KODEX MSCI Korea TR	8,700	115	+1.34%	0	6,690	N/A	N/A	N/A	N/A	N/A	
롯데하이마트	28,200	700	+2.55%	5,000	6,657	1,000	-6.41	-5.02	0.35	1,528.4	0.03546099290780142
에스엘	13,800	0	0.00%	500	6,652	400	7.18	7.25	0.47	5,691.1	0.028985507246376812
대한전선	773	2	+0.26%	500	6,621	N/A	-33.61	-3.99	2.41	45.2	
한진	55,100	1,400	+2.61%	5,000	6,598	500	249.32	-0.34	0.74	1,107.0	0.009074410163339383
빙그레	65,200	2,100	+3.33%	5,000	6,423	1,450	15.45	7.36	1.02	1,096.9	0.02223926380368098
한전기술	16,700	150	+0.91%	200	6,383	310	28.64	5.54	1.32	6,478.9	0.018562874251497007
ARIRANG 200	27,435	400	+1.48%	0	6,351	N/A	N/A	N/A	N/A	N/A	
QV 코스피 변동성 매칭형 양매도 ETN	9,055	90	-0.98%	0	6,338	N/A	N/A	N/A	N/A	N/A	
롯데정보통신	41,100	1,500	+3.79%	5,000	6,328	700	11.38	14.77	1.61	493.6	0.0170316301703163
LG하우시스	70,500	2,300	+3.37%	5,000	6,322	250	41.40	1.26	0.76	1,800.1	0.0035460992907801418
쿠쿠홀딩스	88,400	1,900	+2.20%	500	6,287	3,000	7.92	12.38	0.82	37,819.9	0.033936651583710405
두산	37,850	250	+0.66%	5,000	6,254	5,200	3.57	23.52	0.47	1,602.6	0.13738441215323646
서흥	53,700	0	0.00%	500	6,213	400	18.14	11.15	1.95	5,241.7	0.0074487895716946
동원시스템즈	24,100	100	+0.42%	5,000	6,174	500	16.84	8.69	1.35	234.6	0.02074688796680498
TIGER MSCI Korea TR	10,955	160	+1.48%	0	6,168	N/A	N/A	N/A	N/A	N/A	
아모레퍼시픽우	58,300	600	+1.04%	500	6,155	N/A	21.52	N/A	0.89	N/A	
LG상사	15,700	50	+0.32%	5,000	6,085	300	3.00	2.49	0.43	515.2	0.01910828025477707
SPC삼립	70,300	100	+0.14%	5,000	6,066	1,104	38.08	6.34	1.79	735.4	0.015704125177809388
풀무원	15,700	250	+1.62%	500	5,980	102	40.05	0.95	1.60	1,438.8	0.006496815286624204
S&T모티브	40,450	450	+1.13%	5,000	5,915	1,400	6.95	0.33	0.76	914.3	0.034610630407911
종근당홀딩스	118,000	1,500	-1.26%	2,500	5,912	1,300	15.44	10.03	1.25	3,640.1	0.011016949152542373
넥센타이어	6,020	130	+2.21%	500	5,880	105	5.87	7.94	0.39	2,732.2	0.01744186046511628
영원무역홀딩스	42,800	1,150	+2.76%	500	5,836	1,000	4.42	9.60	0.37	15,980.0	0.02336448598130841
동아쏘시오홀딩스	94,000	4,100	+4.56%	5,000	5,770	1,000	20.08	2.67	0.77	2,778.6	0.010638297872340425
효성티앤씨	132,500	1,000	+0.76%	5,000	5,734	2,000	6.44	20.86	1.13	2,351.6	0.01509433962264151
하나투어	41,100	500	+1.23%	500	5,729	1,000	-10.90	-4.22	1.96	3,585.3	0.024330900243309004
풍산	20,400	600	+3.03%	5,000	5,717	400	107.94	1.28	0.42	875.7	0.0196078431372549
KINDEX 200	27,300	415	+1.54%	0	5,692	N/A	N/A	N/A	N/A	N/A	
