종목명	현재가	전일비	등락률	액면가	시가총액	배당금	PER	ROE	PBR	유보율	배당율
콤텍시스템	1,370	15	+1.11%	500	930	N/A	274.00	1.22	1.02	179.5	
신세계건설	23,050	250	-1.07%	5,000	922	800	5.26	8.91	0.47	700.2	0.03470715835140998
KB 코스피 마운틴 ETN	9,195	0	0.00%	0	920	N/A	N/A	N/A	N/A	N/A	
현대코퍼레이션홀딩스	10,050	60	+0.60%	5,000	915	500	8.00	5.93	0.48	361.8	0.04975124378109453
KC그린홀딩스	4,070	35	+0.87%	500	913	60	11.34	4.61	0.51	1,475.8	0.014742014742014743
동성화학	17,100	100	+0.59%	1,000	912	600	6.86	11.92	0.77	2,281.1	0.03508771929824561
조흥	151,500	1,500	+1.00%	5,000	909	6,000	14.13	6.15	0.72	4,215.4	0.039603960396039604
지투알	5,480	60	+1.11%	1,000	908	300	5.57	11.17	0.67	767.8	0.05474452554744526
우리들제약	6,600	140	+2.17%	500	905	0	-57.39	0.54	1.33	888.8	0.0
이건산업	8,240	780	+10.46%	5,000	902	200	71.03	0.44	0.47	235.1	0.024271844660194174
삼원강재	2,255	10	+0.45%	500	902	115	8.71	5.03	0.43	948.8	0.050997782705099776
무림페이퍼	2,165	10	-0.46%	2,500	901	50	-7.36	-2.17	0.21	311.9	0.023094688221709007
KODEX KRX300	12,675	180	+1.44%	0	900	N/A	N/A	N/A	N/A	N/A	
신흥	9,330	30	+0.32%	500	896	200	11.96	2.33	0.96	1,220.2	0.021436227224008574
한미글로벌	8,170	90	+1.11%	500	895	200	13.18	20.64	0.69	2,377.7	0.02447980416156671
한양증권	7,020	170	+2.48%	5,000	894	350	4.20	7.85	0.31	345.5	0.04985754985754986
지엠비코리아	4,675	145	+3.20%	500	892	30	47.22	1.22	0.39	2,291.3	0.006417112299465241
한창	2,555	80	+3.23%	500	889	N/A	-5.62	-15.00	4.16	55.5	
그린케미칼	3,690	10	+0.27%	500	886	162	12.81	5.17	0.80	819.6	0.04390243902439024
부국철강	4,400	70	+1.62%	500	880	75	45.83	1.64	0.80	1,041.5	0.017045454545454544
테이팩스	18,650	100	+0.54%	500	880	N/A	10.29	7.87	0.86	2,569.3	
ARIRANG 코스피TR	10,140	120	+1.20%	0	877	N/A	N/A	N/A	N/A	N/A	
시디즈	43,850	1,700	+4.03%	500	877	300	9.63	27.34	2.09	3,477.6	0.0068415051311288486
일진디스플	3,070	100	+3.37%	500	869	N/A	-2.86	N/A	2.02	256.0	
한국제지	17,350	200	+1.17%	5,000	868	200	-8.06	-4.81	0.19	1,685.3	0.011527377521613832
삼화왕관	40,100	100	+0.25%	5,000	864	1,350	9.46	N/A	0.51	1,325.4	0.03366583541147132
조비	16,600	50	-0.30%	5,000	862	N/A	830.00	-0.27	1.78	88.1	
KC코트렐	6,620	20	+0.30%	500	861	30	-22.59	2.52	1.22	1,047.8	0.004531722054380665
황금에스티	6,140	110	+1.82%	500	860	100	4.09	10.23	0.33	3,460.3	0.016286644951140065
다스코	5,550	100	+1.83%	500	855	N/A	-52.36	1.51	0.68	1,474.2	
비케이탑스	8,050	240	-2.90%	500	854	0	-0.98	-65.09	1.27	13.3	0.0
한솔홈데코	1,055	45	+4.46%	1,000	850	N/A	-10.45	-2.89	0.55	86.9	
성보화학	4,240	35	+0.83%	500	849	135	-33.92	-1.91	0.57	933.7	0.031839622641509434
호전실업	10,600	100	+0.95%	500	848	250	40.93	2.26	0.71	3,108.6	0.02358490566037736
금호석유우	28,000	450	+1.63%	5,000	847	N/A	3.04	N/A	0.29	N/A	
동방아그로	6,190	10	-0.16%	500	843	250	19.59	4.79	0.51	2,031.0	0.04038772213247173
모나미	4,460	880	+24.58%	1,000	843	70	-29.15	-2.39	1.18	283.9	0.01569506726457399
신풍제약우	38,150	450	-1.17%	500	839	N/A	847.78	N/A	9.07	N/A	
천일고속	58,500	100	-0.17%	5,000	836	5,000	115.61	1.28	1.64	326.4	0.08547008547008547
KODEX 미국S&P500선물(H)	14,540	90	+0.62%	0	836	N/A	N/A	N/A	N/A	N/A	
화천기계	3,790	60	+1.61%	500	834	N/A	-15.16	-4.93	0.62	1,032.3	
주연테크	1,525	40	+2.69%	200	833	0	-28.77	-11.11	1.93	310.3	0.0
휴니드	5,890	110	-1.83%	5,000	831	N/A	8.55	7.10	0.68	73.4	
ARIRANG 코스피50	18,990	305	+1.63%	0	826	N/A	N/A	N/A	N/A	N/A	
삼성 레버리지 WTI원유 선물 ETN	400	50	+14.29%	0	820	N/A	N/A	N/A	N/A	N/A	
KTcs	1,905	5	+0.26%	500	813	80	10.35	4.72	0.51	576.9	0.04199475065616798
금강공업	3,325	25	-0.75%	1,000	812	80	-9.69	-3.23	0.28	1,041.4	0.02406015037593985
두올	3,000	50	+1.69%	2,500	812	80	10.99	7.28	0.56	115.8	0.02666666666666667
국보	2,435	115	+4.96%	500	812	0	-5.74	-36.39	1.83	167.6	0.0
대현	1,830	10	+0.55%	500	810	100	5.74	8.65	0.41	639.5	0.0546448087431694
신영와코루	89,900	600	+0.67%	5,000	809	1,500	17.16	1.24	0.26	6,726.3	0.01668520578420467
세원정공	8,090	0	0.00%	500	809	25	36.12	-2.02	0.19	8,005.9	0.0030902348578491965
신한 S&P500 VIX S/T 선물 ETN B	26,825	1,480	-5.23%	0	805	N/A	N/A	N/A	N/A	N/A	
범양건영	3,240	25	+0.78%	1,000	805	N/A	4.21	32.82	1.13	243.9	
영화금속	1,765	60	+3.52%	500	802	N/A	135.77	0.38	1.06	216.6	
대신증권2우B	8,020	30	+0.38%	5,000	802	N/A	7.35	N/A	0.27	N/A	
KODEX 국고채3년	58,030	15	-0.03%	0	801	N/A	N/A	N/A	N/A	N/A	
신한 레버리지 은 선물 ETN(H)	7,930	760	+10.60%	0	793	N/A	N/A	N/A	N/A	N/A	
한국수출포장	19,650	1,000	+5.36%	5,000	786	600	4.11	7.51	0.32	1,139.4	0.030534351145038167
에넥스	1,310	115	+9.62%	500	786	N/A	-14.72	-6.42	1.34	100.4	
사조오양	8,230	190	+2.36%	5,000	775	100	5.01	8.18	0.45	340.9	0.012150668286755772
신한 인버스 2X WTI원유 선물 ETN(H)	3,095	455	-12.82%	0	774	N/A	N/A	N/A	N/A	N/A	
대유에이텍	723	11	+1.54%	500	773	N/A	45.19	9.75	0.76	92.9	
영풍제지	3,460	25	-0.72%	500	768	40	7.06	N/A	0.51	1,020.3	0.011560693641618497
대림씨엔에스	6,000	0	0.00%	1,000	764	38	28.44	0.97	0.27	2,140.2	0.006333333333333333
동양고속	26,250	150	+0.57%	5,000	760	4,700	2.90	26.85	0.57	720.0	0.17904761904761904
KODEX 2차전지산업	8,890	245	+2.83%	0	756	N/A	N/A	N/A	N/A	N/A	
유유제약	11,850	200	+1.72%	1,000	755	210	16.14	5.41	0.95	970.2	0.017721518987341773
KBSTAR 단기국공채액티브	101,215	20	+0.02%	0	751	N/A	N/A	N/A	N/A	N/A	
TIGER 소프트웨어	11,920	235	+2.01%	0	751	N/A	N/A	N/A	N/A	N/A	
화신	2,150	30	+1.42%	500	751	50	11.32	2.24	0.24	1,709.3	0.023255813953488372
대원화성	1,820	30	-1.62%	500	751	10	19.57	5.56	0.92	279.9	0.005494505494505495
대림B&Co	4,490	135	+3.10%	1,000	749	130	-140.31	1.37	0.47	865.5	0.028953229398663696
한농화성	4,770	75	+1.60%	500	746	150	6.77	8.58	0.60	1,446.9	0.031446540880503145
대원전선	1,095	35	+3.30%	500	746	N/A	-91.25	-1.01	0.96	127.9	
평화산업	1,355	10	+0.74%	500	744	N/A	-8.80	-25.93	2.46	-34.9	
혜인	5,850	350	-5.65%	500	744	60	16.03	4.55	0.63	1,646.9	0.010256410256410256
방림	1,755	30	+1.74%	500	743	40	15.13	3.01	0.36	859.6	0.022792022792022793
엔케이	921	3	+0.33%	500	737	N/A	-2.93	-25.29	0.81	164.1	
대유플러스	666	11	+1.68%	500	736	0	2.83	16.75	0.87	78.5	0.0
포스코강판	12,250	50	+0.41%	5,000	735	400	17.50	1.23	0.34	629.7	0.0326530612244898
대호에이엘	2,700	70	+2.66%	500	733	0	-14.52	-12.62	3.15	-20.4	0.0
메타랩스	1,400	30	+2.19%	500	732	N/A	-3.06	-40.07	1.27	112.1	
오리엔트바이오	717	9	+1.27%	500	730	0	-3.73	-33.20	1.34	-43.3	0.0
태경케미컬	6,280	150	+2.45%	500	728	150	6.99	8.67	0.64	1,540.7	0.02388535031847134
KBSTAR 미국S&P원유생산기업(합성 H)	2,345	15	+0.64%	0	726	N/A	N/A	N/A	N/A	N/A	
조광페인트	5,630	50	+0.90%	500	721	200	-100.54	-1.33	0.35	2,735.8	0.035523978685612786
TIGER 부동산인프라고배당	4,655	5	+0.11%	0	719	N/A	N/A	N/A	N/A	N/A	
KTis	2,065	20	+0.98%	500	719	90	7.82	5.60	0.42	911.3	0.043583535108958835
KBSTAR 200IT	10,270	155	+1.53%	0	717	N/A	N/A	N/A	N/A	N/A	
TIGER 차이나HSCEI	12,575	160	+1.29%	0	717	N/A	N/A	N/A	N/A	N/A	
KCTC	2,380	20	-0.83%	500	714	45	11.84	3.75	0.37	1,181.5	0.018907563025210083
유양디앤유	1,220	0	0.00%	500	714	N/A	-7.44	-8.52	0.61	183.9	
가온전선	17,150	150	-0.87%	5,000	713	600	13.05	2.12	0.26	1,166.2	0.03498542274052478
STX중공업	2,515	255	+11.28%	2,500	713	N/A	-2.02	-22.78	0.54	487.2	
동방	2,130	15	+0.71%	1,000	713	0	-9.10	-8.33	0.79	178.4	0.0
두산솔루스2우B	43,200	550	+1.29%	100	711	N/A	95.79	N/A	11.18	N/A	
우진	3,505	20	+0.57%	500	708	100	-8.06	-10.49	0.63	745.0	0.028530670470756064
참엔지니어링	1,300	10	+0.78%	500	704	0	-4.74	-33.98	1.15	178.8	0.0
화천기공	31,650	150	+0.48%	5,000	696	1,250	9.34	2.55	0.23	1,870.5	0.03949447077409163
삼정펄프	27,750	50	-0.18%	5,000	694	N/A	8.71	2.56	0.37	1,377.0	
TRUE 레버리지 천연가스 선물 ETN(H)	6,900	105	-1.50%	0	690	N/A	N/A	N/A	N/A	N/A	
사조씨푸드	3,985	15	-0.37%	1,000	686	N/A	-7.60	-2.66	0.34	1,112.0	
화인베스틸	2,320	95	+4.27%	500	686	N/A	-9.13	-7.77	0.74	479.8	
미래산업	81	1	+1.25%	100	683	0	-16.20	-12.97	1.03	-13.6	0.0
유성기업	2,630	65	+2.53%	500	682	200	5.01	6.47	0.25	1,978.5	0.07604562737642585
대창단조	23,700	100	+0.42%	5,000	677	1,100	4.17	8.12	0.34	1,207.3	0.046413502109704644
디아이씨	1,725	25	-1.43%	500	671	N/A	-1.10	-33.70	0.45	575.7	
새론오토모티브	3,485	40	-1.13%	500	669	140	-8.05	-3.82	0.31	2,149.8	0.040172166427546625
TRUE 레버리지 나스닥 100 ETN	13,365	240	+1.83%	0	668	N/A	N/A	N/A	N/A	N/A	
KR모터스	724	11	+1.54%	500	664	0	-0.95	-113.29	1.86	-86.2	0.0
TIGER 유로스탁스50(합성 H)	10,430	20	-0.19%	0	657	N/A	N/A	N/A	N/A	N/A	
KBSTAR KQ고배당	11,180	260	+2.38%	0	654	N/A	N/A	N/A	N/A	N/A	
우신시스템	3,565	55	+1.57%	500	653	N/A	14.79	5.18	0.52	1,033.3	
KODEX 미국달러선물	10,815	105	-0.96%	0	651	N/A	N/A	N/A	N/A	N/A	
한국석유	98,100	300	+0.31%	5,000	643	1,500	-8.42	-5.29	0.44	4,255.9	0.01529051987767584
대림통상	4,190	10	+0.24%	1,000	638	140	-6.17	-11.78	0.72	451.9	0.03341288782816229
KODEX MSCI Korea	12,995	190	+1.48%	0	637	N/A	N/A	N/A	N/A	N/A	
KODEX 은행	5,305	95	+1.82%	0	637	N/A	N/A	N/A	N/A	N/A	
DSR	3,975	20	+0.51%	500	636	50	7.16	5.83	0.41	1,820.2	0.012578616352201259
NI스틸	2,200	75	+3.53%	500	629	50	10.68	5.91	0.57	630.0	0.022727272727272728
경동인베스트	26,550	100	+0.38%	5,000	628	500	6.05	2.26	0.14	5,767.5	0.018832391713747645
TRUE 레버리지 S&P500 선물 ETN(H)	12,525	175	+1.42%	0	626	N/A	N/A	N/A	N/A	N/A	
까뮤이앤씨	1,385	60	+4.53%	500	625	30	4.57	20.68	0.83	166.9	0.021660649819494584
MH에탄올	8,460	150	-1.74%	500	624	350	-30.76	-0.88	1.02	1,405.9	0.041371158392434985
유한양행우	52,600	700	+1.35%	1,000	621	N/A	25.52	N/A	1.89	N/A	
인지컨트롤스	4,065	85	+2.14%	500	616	100	-9.37	-4.47	0.32	2,497.6	0.024600246002460024
KB Wise 분할매매 ETN	10,220	175	+1.74%	0	613	N/A	N/A	N/A	N/A	N/A	
문배철강	2,970	155	+5.51%	500	609	50	36.22	2.14	0.52	986.2	0.016835016835016835
덕성	3,830	265	+7.43%	500	601	20	38.30	0.29	0.92	694.9	0.005221932114882507
삼성 레버리지 천연가스 선물 ETN	2,400	65	-2.64%	0	600	N/A	N/A	N/A	N/A	N/A	
SG충방	1,320	10	+0.76%	500	594	N/A	-660.00	0.59	0.45	638.5	
일성건설	1,095	15	+1.39%	500	592	15	32.21	2.05	0.65	215.4	0.0136986301369863
롯데지주우	59,700	700	+1.19%	200	590	N/A	-11.69	N/A	0.65	N/A	
제일연마	5,890	50	+0.86%	500	589	220	10.09	7.84	0.54	1,929.4	0.03735144312393888
SMART KRX300	12,775	215	+1.71%	0	588	N/A	N/A	N/A	N/A	N/A	
두산퓨얼셀1우	4,395	45	+1.03%	100	587	N/A	6.70	N/A	1.89	N/A	
체시스	2,440	125	+5.40%	500	586	N/A	-44.36	-13.41	2.17	64.2	
서울식품	173	1	+0.58%	100	584	N/A	-21.62	-7.65	2.38	-26.5	
KBSTAR 금융채액티브	102,355	30	+0.03%	0	583	N/A	N/A	N/A	N/A	N/A	
만호제강	14,000	0	0.00%	1,000	581	200	28.81	0.46	0.18	5,901.3	0.014285714285714285
세하	1,950	120	-5.80%	1,000	576	0	3.94	34.66	1.36	-21.1	0.0
CS홀딩스	49,900	200	+0.40%	5,000	576	500	4.86	4.35	0.25	3,993.4	0.01002004008016032
세우글로벌	2,005	65	+3.35%	500	576	N/A	46.63	0.23	1.31	179.6	
한익스프레스	4,790	90	+1.91%	500	575	70	8.34	8.30	0.80	1,094.0	0.014613778705636743
대교우B	2,955	80	+2.78%	500	574	N/A	-134.32	N/A	0.44	N/A	
DSR제강	3,980	10	+0.25%	500	573	40	7.40	4.86	0.40	1,862.6	0.010050251256281407
TIGER 인버스	7,005	135	-1.89%	0	567	N/A	N/A	N/A	N/A	N/A	
영보화학	2,810	35	+1.26%	500	562	100	18.61	3.56	0.38	1,352.5	0.03558718861209965
KB KQ 우량주30 ETN	11,175	185	+1.68%	0	559	N/A	N/A	N/A	N/A	N/A	
SK케미칼우	38,050	350	-0.91%	5,000	555	N/A	16.34	N/A	0.69	N/A	
엔케이물산	660	5	+0.76%	500	552	N/A	-16.50	-7.77	1.33	3.2	
TIGER 중장기국채	53,980	40	-0.07%	0	551	N/A	N/A	N/A	N/A	N/A	
KBSTAR KRX300	12,740	235	+1.88%	0	548	N/A	N/A	N/A	N/A	N/A	
TIGER 미국MSCI리츠(합성 H)	10,950	210	-1.88%	0	548	N/A	N/A	N/A	N/A	N/A	
상신브레이크	2,545	15	+0.59%	500	546	100	-18.99	2.40	0.30	1,617.4	0.03929273084479371
쎌마테라퓨틱스	5,350	0	0.00%	500	544	0	-1.56	-724.10	9.37	36.4	0.0
ARIRANG 코스피	20,935	270	+1.31%	0	544	N/A	N/A	N/A	N/A	N/A	
부국증권우	18,000	250	+1.41%	5,000	540	N/A	8.76	N/A	0.33	N/A	
GS우	30,100	50	+0.17%	5,000	537	N/A	58.33	N/A	0.34	N/A	
대구백화점	4,950	45	-0.90%	5,000	536	100	-2.26	-6.93	0.15	444.1	0.020202020202020204
KODEX 코스피대형주	9,715	165	+1.73%	0	534	N/A	N/A	N/A	N/A	N/A	
KB KTOP30 ETN	10,585	0	0.00%	0	529	N/A	N/A	N/A	N/A	N/A	
동양피스톤	3,995	10	+0.25%	500	526	120	5.20	9.72	0.47	1,527.8	0.030037546933667083
우진아이엔에스	6,880	0	0.00%	500	524	250	22.05	1.97	0.49	2,707.1	0.036337209302325583
TIGER 미국채10년선물	13,085	130	-0.98%	0	523	N/A	N/A	N/A	N/A	N/A	
KOSEF 통안채1년	102,070	5	0.00%	0	521	N/A	N/A	N/A	N/A	N/A	
QV Big Vol ETN	10,355	140	+1.37%	0	518	N/A	N/A	N/A	N/A	N/A	
KBSTAR 중기우량회사채	105,140	50	-0.05%	0	515	N/A	N/A	N/A	N/A	N/A	
미래에셋대우우	3,650	20	-0.54%	5,000	514	N/A	4.50	N/A	0.28	N/A	
미래아이앤지	394	4	+1.03%	100	510	N/A	3.13	22.51	0.70	444.1	
휴스틸	6,690	50	+0.75%	5,000	510	300	-4.06	-3.13	0.13	834.8	0.04484304932735426
이구산업	1,520	15	+1.00%	500	508	30	-14.21	-3.26	0.51	336.7	0.019736842105263157
신송홀딩스	4,250	310	-6.80%	500	503	80	-1.60	-32.05	0.54	1,525.8	0.018823529411764704
삼성공조	6,160	10	-0.16%	500	501	60	15.44	2.21	0.23	5,183.9	0.00974025974025974
금비	49,950	350	-0.70%	5,000	500	1,700	12.01	6.48	0.39	2,086.6	0.03403403403403404
인터지스	1,675	5	-0.30%	500	498	N/A	-2.17	-14.20	0.26	1,029.3	
선도전기	2,765	15	+0.55%	500	498	25	-9.67	-2.52	0.64	637.7	0.009041591320072333
TCC스틸	2,150	75	+3.61%	1,000	494	59	9.82	4.42	0.41	382.9	0.02744186046511628
신풍제지	1,405	35	+2.55%	500	491	60	5.76	32.25	0.66	343.0	0.042704626334519574
KODEX 중국본토CSI300	10,605	280	+2.71%	0	488	N/A	N/A	N/A	N/A	N/A	
티에이치엔	2,695	160	+6.31%	500	485	60	-15.67	33.47	0.86	308.3	0.022263450834879406
폴루스바이오팜	1,225	0	0.00%	500	482	0	-4.30	-27.04	0.83	184.8	0.0
삼성 인버스 2X WTI원유 선물 ETN	3,210	450	-12.30%	0	482	N/A	N/A	N/A	N/A	N/A	
한국종합기술	4,380	150	+3.55%	500	480	100	-9.46	-3.61	0.49	1,644.8	0.0228310502283105
삼성 코스피 풋매도 ETN	9,585	20	+0.21%	0	479	N/A	N/A	N/A	N/A	N/A	
평화홀딩스	3,275	75	+2.34%	500	479	150	-3.48	-11.10	0.39	973.4	0.04580152671755725
한신기계	1,475	15	+1.03%	500	479	15	24.58	2.01	0.57	401.1	0.010169491525423728
KBSTAR 국채선물10년	57,645	90	-0.16%	0	477	N/A	N/A	N/A	N/A	N/A	
KODEX 200exTOP	9,425	150	+1.62%	0	471	N/A	N/A	N/A	N/A	N/A	
페이퍼코리아	1,340	20	+1.52%	500	471	N/A	-1.91	-136.14	2.29	-155.6	
KODEX IT	13,750	230	+1.70%	0	468	N/A	N/A	N/A	N/A	N/A	
유엔젤	3,535	25	+0.71%	500	466	N/A	-11.40	-12.80	1.18	663.3	
선창산업	3,685	105	+2.93%	1,000	465	N/A	-1.74	-15.85	0.20	1,693.3	
코오롱인더우	16,750	150	+0.90%	5,000	464	N/A	2.88	N/A	0.24	N/A	
KB 코스피 양매도 5% OTM ETN	9,265	60	-0.64%	0	463	N/A	N/A	N/A	N/A	N/A	
대동전자	4,415	5	-0.11%	500	463	0	9.05	2.58	0.28	2,075.4	0.0
TRUE 코스피 양매도 ATM ETN	9,170	105	-1.13%	0	458	N/A	N/A	N/A	N/A	N/A	
KODEX 미디어&엔터테인먼트	15,280	370	+2.48%	0	458	N/A	N/A	N/A	N/A	N/A	
삼영화학	1,340	20	+1.52%	500	456	N/A	-22.71	-4.49	1.04	156.8	
태양금속	1,240	40	+3.33%	500	455	5	-2.24	-26.30	0.69	289.6	0.004032258064516129
TRUE 코스피 양매도 3% OTM ETN	9,060	50	-0.55%	0	453	N/A	N/A	N/A	N/A	N/A	
KODEX 중국본토 A50	18,010	380	+2.16%	0	450	N/A	N/A	N/A	N/A	N/A	
삼아알미늄	4,085	70	+1.74%	500	449	110	9.00	4.62	0.41	1,878.7	0.02692778457772338
진양산업	3,450	80	+2.37%	500	448	200	6.53	17.84	1.10	553.0	0.057971014492753624
대신 철광석 선물 ETN(H)	22,410	475	+2.17%	0	448	N/A	N/A	N/A	N/A	N/A	
호텔신라우	59,500	1,100	+1.88%	5,000	447	N/A	53.80	N/A	2.69	N/A	
동원수산	9,610	140	+1.48%	5,000	447	N/A	5.51	12.71	0.88	118.0	
한국특수형강	1,380	10	+0.73%	500	446	N/A	-3.03	-27.55	0.66	316.9	
SJM	2,845	30	-1.04%	500	444	125	6.50	4.23	0.27	2,292.8	0.043936731107205626
TIGER 국채3년	112,150	35	+0.03%	0	437	N/A	N/A	N/A	N/A	N/A	
KOSEF Fn중소형	16,080	220	+1.39%	0	437	N/A	N/A	N/A	N/A	N/A	
동원금속	923	213	+30.00%	500	432	N/A	-184.60	-43.38	0.74	86.3	
유화증권우	2,465	10	-0.40%	1,000	431	N/A	29.35	N/A	0.33	N/A	
베트남개발1	310	4	+1.31%	0	427	N/A	N/A	N/A	N/A	N/A	
TIGER 코스피중형주	10,630	25	+0.24%	0	425	N/A	N/A	N/A	N/A	N/A	
KBSTAR 국고채3년선물인버스	99,165	20	-0.02%	0	423	N/A	N/A	N/A	N/A	N/A	
KODEX 반도체	25,585	860	+3.48%	0	422	N/A	N/A	N/A	N/A	N/A	
ARIRANG 신흥국MSCI(합성 H)	9,295	220	+2.42%	0	420	N/A	N/A	N/A	N/A	N/A	
KODEX 증권	5,365	160	+3.07%	0	418	N/A	N/A	N/A	N/A	N/A	
롯데칠성우	53,800	600	+1.13%	500	417	N/A	-3.19	N/A	0.38	N/A	
SJM홀딩스	2,760	35	+1.28%	500	412	175	6.56	3.32	0.25	2,056.6	0.06340579710144928
TBH글로벌	1,975	165	+9.12%	500	412	N/A	-0.41	-53.17	0.50	900.3	
KODEX 국채선물10년인버스	45,195	95	+0.21%	0	409	N/A	N/A	N/A	N/A	N/A	
한솔로지스틱스	1,480	15	+1.02%	500	407	40	6.30	11.44	0.84	718.8	0.02702702702702703
KOSEF 단기자금	101,630	5	0.00%	0	406	N/A	N/A	N/A	N/A	N/A	
조일알미늄	577	3	-0.52%	500	405	N/A	-0.53	-51.10	0.36	221.9	
QV WISE 배당 ETN	8,010	20	+0.25%	0	400	N/A	N/A	N/A	N/A	N/A	
TIGER 차이나CSI300인버스(합성)	10,470	360	-3.32%	0	398	N/A	N/A	N/A	N/A	N/A	
한세엠케이	3,070	35	+1.15%	500	396	N/A	-0.90	-35.15	0.35	1,697.3	
바다로19호	2,605	0	0.00%	5,000	396	352	4.51	12.05	0.86	-39.4	0.13512476007677543
미래에셋 레버리지 원유선물혼합 ETN(H)	1,870	220	+13.33%	0	393	N/A	N/A	N/A	N/A	N/A	
TIGER 레버리지	10,825	390	+3.74%	0	390	N/A	N/A	N/A	N/A	N/A	
KBSTAR 200선물레버리지	10,500	365	+3.60%	0	388	N/A	N/A	N/A	N/A	N/A	
두산퓨얼셀2우B	12,950	50	+0.39%	100	387	N/A	19.74	N/A	5.58	N/A	
코아스	1,245	35	+2.89%	500	385	N/A	20.08	8.97	1.50	62.8	
두산2우B	43,000	1,000	+2.38%	5,000	384	N/A	4.06	N/A	0.53	N/A	
신한 레버리지 다우존스지수 선물 ETN(H)	19,140	165	+0.87%	0	383	N/A	N/A	N/A	N/A	N/A	
형지엘리트	1,225	20	+1.66%	500	382	N/A	-3.84	-15.65	0.62	309.7	
신한 레버리지 천연가스 선물 ETN	7,630	190	-2.43%	0	382	N/A	N/A	N/A	N/A	N/A	
인팩	3,800	45	+1.20%	500	380	120	-9.48	-6.29	0.42	1,859.5	0.031578947368421054
KBSTAR 국고채3년	114,310	25	+0.02%	0	377	N/A	N/A	N/A	N/A	N/A	
케이비아이동국실업	569	10	-1.73%	500	376	N/A	-4.86	-1.19	0.22	499.5	
한일철강	1,675	20	+1.21%	500	374	N/A	-3.13	-6.98	0.23	1,247.0	
미래에셋 레버리지 S&P500 ETN(H)	18,620	175	+0.95%	0	372	N/A	N/A	N/A	N/A	N/A	
신한 인버스 천연가스 선물 ETN(H)	18,540	110	+0.60%	0	371	N/A	N/A	N/A	N/A	N/A	
진도	2,965	135	+4.77%	500	369	100	-30.89	-2.67	0.37	1,505.4	0.03372681281618887
원림	16,750	300	+1.82%	5,000	368	250	27.46	3.33	0.37	773.3	0.014925373134328358
이화산업	13,150	50	+0.38%	5,000	368	N/A	-8.14	-4.35	0.36	626.8	
HANARO 코스닥150	11,290	490	+4.54%	0	368	N/A	N/A	N/A	N/A	N/A	
TIGER KRX300	12,670	195	+1.56%	0	367	N/A	N/A	N/A	N/A	N/A	
갤럭시아에스엠	1,330	15	+1.14%	500	366	N/A	-26.60	-5.70	1.68	74.8	
신한 레버리지 금 선물 ETN	18,290	375	+2.09%	0	366	N/A	N/A	N/A	N/A	N/A	
TIGER 200IT레버리지	25,210	695	+2.83%	0	366	N/A	N/A	N/A	N/A	N/A	
QV 소프트웨어 TOP5 ETN	18,270	220	+1.22%	0	365	N/A	N/A	N/A	N/A	N/A	
QV 하드웨어 TOP5 ETN	18,230	0	0.00%	0	365	N/A	N/A	N/A	N/A	N/A	
삼성 레버리지 China A50 선물 ETN(H)	36,450	1,740	+5.01%	0	364	N/A	N/A	N/A	N/A	N/A	
케이탑리츠	788	8	+1.03%	1,000	364	49	6.46	8.22	0.53	51.7	0.06218274111675127
KOSEF 코스닥150	5,690	220	+4.02%	0	363	N/A	N/A	N/A	N/A	N/A	
진양화학	3,005	15	-0.50%	500	361	N/A	-30.35	-7.57	1.33	344.2	
KODEX 미국S&P고배당커버드콜(합성 H)	8,445	60	+0.72%	0	355	N/A	N/A	N/A	N/A	N/A	
미래에셋 전기전자 Core5 ETN	17,650	0	0.00%	0	353	N/A	N/A	N/A	N/A	N/A	
KODEX 고배당	6,885	95	+1.40%	0	351	N/A	N/A	N/A	N/A	N/A	
에쓰씨엔지니어링	1,395	10	-0.71%	500	349	N/A	-34.02	-1.45	1.41	-40.7	
신한	4,945	0	0.00%	5,000	347	N/A	-1.64	-33.19	1.11	-14.1	
WISCOM	2,260	90	+4.15%	500	346	50	33.73	0.92	0.29	1,432.8	0.022123893805309734
KOSEF 국고채3년	113,725	25	+0.02%	0	341	N/A	N/A	N/A	N/A	N/A	
금호전기	3,320	10	-0.30%	500	341	N/A	-0.93	-80.13	1.11	1,227.3	
하이스틸	17,000	0	0.00%	5,000	340	100	36.32	0.03	0.27	1,171.1	0.0058823529411764705
우진플라임	3,375	205	+6.47%	500	338	N/A	-4.94	-22.80	0.62	906.2	
KODEX China H	20,960	560	+2.75%	0	335	N/A	N/A	N/A	N/A	N/A	
TIGER 반도체	26,220	1,000	+3.97%	0	330	N/A	N/A	N/A	N/A	N/A	
덕양산업	1,010	5	+0.50%	500	329	N/A	-2.14	-26.33	0.70	54.7	
신한 인버스 옥수수 선물 ETN(H)	16,385	125	+0.77%	0	328	N/A	N/A	N/A	N/A	N/A	
KODEX China H 레버리지(H)	5,935	445	+8.11%	0	326	N/A	N/A	N/A	N/A	N/A	
KODEX 200가치저변동	7,340	120	+1.66%	0	323	N/A	N/A	N/A	N/A	N/A	
삼성 미국 대형 성장주 ETN	16,075	50	+0.31%	0	322	N/A	N/A	N/A	N/A	N/A	
KODEX 필수소비재	8,450	35	+0.42%	0	321	N/A	N/A	N/A	N/A	N/A	
한성기업	5,170	80	-1.52%	5,000	321	N/A	-2.00	N/A	0.59	34.1	
